category,job_title,company,location,email,phone,start_date,job_url
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
E center Frauendorf
01.08.2026
38820 Halberstadt
Neu
Duale Ausbildung",EDEKA ZENTRALE Stiftung &amp; Co. KG,N/A,navig@or.userlanguage,026 38838,2026-02-27,https://www.azubi.de/ausbildungsplatz/10436361-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
Marktkauf 7418 Papenburg
01.08.2026
26871 Papenburg
Neu
Duale Ausbildung",Marktkauf 7418 Papenburg,N/A,navig@or.userlanguage,026 26871,01.08.2026,https://www.azubi.de/ausbildungsplatz/10825397-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
Marktkauf 7302 Wilhelmshaven
01.08.2026
26388 Wilhelmshaven
Neu
Duale Ausbildung",Marktkauf 7302 Wilhelmshaven,N/A,navig@or.userlanguage,026 26384,01.09.2026,https://www.azubi.de/ausbildungsplatz/10610404-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
Marktkauf 7229 Belm
01.08.2026
49191 Belm
Neu
Duale Ausbildung",Marktkauf 7229 Belm,N/A,navig@or.userlanguage,026 49082,01.08.2026,https://www.azubi.de/ausbildungsplatz/10610408-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
EDEKA Heidrun Wucherpfennig
01.08.2026
39112 Magdeburg
Neu
Duale Ausbildung",EDEKA Heidrun Wucherpfennig,N/A,navig@or.userlanguage,026 39104,01.08.2026,https://www.azubi.de/ausbildungsplatz/10436369-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
Marktkauf 7205 Löhne
01.08.2026
32584 Löhne
Neu
Duale Ausbildung",Marktkauf 7205 Löhne,N/A,navig@or.userlanguage,026 32584,01.08.2026,https://www.azubi.de/ausbildungsplatz/10528069-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
E center Frauendorf
01.08.2026
38820 Halberstadt
Neu
Duale Ausbildung",E center Frauendorf,N/A,navig@or.userlanguage,026 38889,01.08.2026,https://www.azubi.de/ausbildungsplatz/10436363-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
EDEKA Scheuner
01.08.2026
10369 Berlin
Neu
Duale Ausbildung",EDEKA Scheuner,N/A,navig@or.userlanguage,026 10717,01.09.2026,https://www.azubi.de/ausbildungsplatz/10808840-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
Marktkauf 7313 Wunstorf
01.08.2026
31515 Wunstorf
Neu
Duale Ausbildung",Marktkauf 7313 Wunstorf,N/A,navig@or.userlanguage,026 31515,01.08.2026,https://www.azubi.de/ausbildungsplatz/10610378-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) EDEKA Center Schoe - 2026
Selbstständiger Einzelhandel
01.08.2026
38302 Wolfenbüttel
Neu
Duale Ausbildung",Selbstständiger Einzelhandel,N/A,navig@or.userlanguage,026 38304,01.08.2026,https://www.azubi.de/ausbildungsplatz/10436391-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-edeka-center-schoe-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
Marktkauf 7419 Wolfenbüttel
01.08.2026
38304 Wolfenbüttel
Neu
Duale Ausbildung",Marktkauf 7419 Wolfenbüttel,N/A,navig@or.userlanguage,026 38304,01.08.2026,https://www.azubi.de/ausbildungsplatz/10825376-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung zum Fachverkäufer im Lebensmittelhandwerk, Fleischerei (m/w/d)
REWE Markt GmbH
01.09.2026
38644 Goslar
Neu
Duale Ausbildung
Vollzeit/Teilzeit",REWE Markt GmbH,N/A,navig@or.userlanguage,0950805,2026-02-27,https://www.azubi.de/ausbildungsplatz/11638875-s-ausbildung-zum-fachverkaeufer-im-lebensmittelhandwerk-fleischerei-m-w-d
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
Marktkauf 7203 Bünde
01.08.2026
32257 Bünde
Duale Ausbildung",Marktkauf 7203 Bünde,N/A,navig@or.userlanguage,026 32584,01.08.2026,https://www.azubi.de/ausbildungsplatz/10521703-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
EDEKA Banasik
01.08.2026
10119 Berlin
Duale Ausbildung",EDEKA Banasik,N/A,navig@or.userlanguage,026 10249,01.09.2026,https://www.azubi.de/ausbildungsplatz/10803381-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
EDEKA Hoffmann
01.08.2026
39365 Wefensleben
Duale Ausbildung",EDEKA Hoffmann,N/A,navig@or.userlanguage,026 39365,01.08.2026,https://www.azubi.de/ausbildungsplatz/10431664-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fachverkäufer/in Lebensmittelhandwerk,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
Marktkauf 7201 Herford I
01.08.2026
32051 Herford
Duale Ausbildung",Marktkauf 7201 Herford I,N/A,navig@or.userlanguage,026 32052,01.08.2026,https://www.azubi.de/ausbildungsplatz/10521706-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
