category,job_title,company,location,email,phone,start_date,job_url
"Fahrbetrieb, Fachkraft","Ausbildung zur Fachkraft im Fahrbetrieb (m/w/d)
Bus Verkehr Berlin KG
Premium
01.09.2026
12057 Berlin
1.106 – 1.468 €
1106 bis 1468 €
Duale Ausbildung
5 freie Stellen",Bus Verkehr Berlin KG,N/A,navig@or.language,030 / 68 38 91 166,2026-02-26,https://www.azubi.de/ausbildungsplatz/11638045-p-ausbildung-zur-fachkraft-im-fahrbetrieb-m-w-d
"Fahrbetrieb, Fachkraft","Ausbildung Fachkraft im Fahrbetrieb 2026 (w/m/d)
Deutsche Bahn AG
Premium
01.09.2026
Kassel
Duale Ausbildung",Deutsche Bahn AG,N/A,navig@or.language,036623302,25.02.2026,https://www.azubi.de/ausbildungsplatz/11285852-p-ausbildung-fachkraft-im-fahrbetrieb-2026-w-m-d
"Fahrbetrieb, Fachkraft","Ausbildung - Fachkraft im Fahrbetrieb (m/w/d) 2026
Stadtwerke München GmbH
Premium
01.09.2026
80992 München
Noch 1 Tag online
Duale Ausbildung
Homeoffice möglich
10 freie Stellen",Stadtwerke München GmbH,N/A,navig@or.language,089 2361-2198,2026-02-23,https://www.azubi.de/ausbildungsplatz/10355864-p-ausbildung-fachkraft-im-fahrbetrieb-m-w-d-2026
"Fahrbetrieb, Fachkraft","Ausbildung Fachkraft im Fahrbetrieb (m/w/d) 2026
Stadtwerke Hamm GmbH
01.08.2026
59069 Verkehrsbetrieb
Neu
Duale Ausbildung",Stadtwerke Hamm GmbH,N/A,navig@or.language,026 59069,2026-02-27,https://www.azubi.de/ausbildungsplatz/10001735-s-ausbildung-fachkraft-im-fahrbetrieb-m-w-d-2026
"Fahrbetrieb, Fachkraft","Ausbildung zur Fachkraft im Fahrbetrieb (m/w/d) für das Einstellungsjahr 2026
WSW Wuppertaler Stadtwerke GmbH
01.09.2026
42281 Wuppertal
Neu
Duale Ausbildung
10 freie Stellen",WSW Wuppertaler Stadtwerke GmbH,N/A,navig@or.language,026 42655,2026-02-26,https://www.azubi.de/ausbildungsplatz/10351025-s-ausbildung-zur-fachkraft-im-fahrbetrieb-m-w-d-fuer-das-einstellungsjahr-2026
"Fahrbetrieb, Fachkraft","Ausbildung Fachkraft im Fahrbetrieb (w/m/d)
Stadtwerke Solingen GmbH
24.08.2026
42655 Solingen
Duale Ausbildung
3 freie Stellen",Stadtwerke Solingen GmbH,N/A,bewerbung@stadtwerke-solingen.de,0212 295-2227,2026-02-25,https://www.azubi.de/ausbildungsplatz/10426789-s-ausbildung-fachkraft-im-fahrbetrieb-w-m-d
"Fahrbetrieb, Fachkraft","Fachkraft im Fahrbetrieb (m/w/d)
STWB Stadtwerke Bamberg GmbH
01.09.2026
96050 Bamberg
Duale Ausbildung",STWB Stadtwerke Bamberg GmbH,N/A,navig@or.language,026 96052,2026-02-19,https://www.azubi.de/ausbildungsplatz/10310272-s-fachkraft-im-fahrbetrieb-m-w-d
"Fahrbetrieb, Fachkraft","Ausbildung Fachkraft im Fahrbetrieb - (w/m/d) - Start 2026
Hamburger Hochbahn AG
17.08.2026
20537 Hamburg+ 5 weitere
Duale Ausbildung
8 freie Stellen",Hamburger Hochbahn AG,N/A,navig@or.language,026 20537,2026-02-18,https://www.azubi.de/ausbildungsplatz/10463737-s-ausbildung-fachkraft-im-fahrbetrieb-w-m-d-start-2026
"Fahrbetrieb, Fachkraft","Ausbildung zur Fachkraft im Fahrbetrieb (m/w/d)
Rurtalbus GmbH
01.08.2026
52351 Düren
Schnellbewerbung
Duale Ausbildung",R.A.T.H. GmbH,N/A,navig@or.language,026 52351,2026-02-18,https://www.azubi.de/ausbildungsplatz/11168626-s-ausbildung-zur-fachkraft-im-fahrbetrieb-m-w-d
"Fahrbetrieb, Fachkraft","Fachkraft im Fahrbetrieb (m/w/d) ** Ausbildung 2026
Kreisverkehrsgesellschaft Salzland mbH
01.08.2026
06406 Bernburg (Saale)
Duale Ausbildung",Kreisverkehrsgesellschaft Salzland mbH,N/A,service@kvg-salzland.de,026 06406,2026-02-21,https://www.azubi.de/ausbildungsplatz/11619271-b-fachkraft-im-fahrbetrieb-m-w-d-ausbildung-2026
"Fahrbetrieb, Fachkraft","Ausbildung - Fachkraft im Fahrbetrieb (m/w/d)
Cebus GmbH & Co. KG
01.08.2026
29225 Celle
Duale Ausbildung",Cebus GmbH &amp; Co. KG,N/A,navig@or.language,026 29225,2026-02-07,https://www.azubi.de/ausbildungsplatz/11492410-b-ausbildung-fachkraft-im-fahrbetrieb-m-w-d
"Fahrbetrieb, Fachkraft","Ausbildung zur Fachkraft im Fahrbetrieb (m/w/d) ab August 2026 in Zwickau
Städtische Verkehrsbetriebe Zwickau GmbH
01.08.2026
08058 Zwickau
Duale Ausbildung",Städtische Verkehrsbetriebe Zwickau GmbH,N/A,karriere@svz-nahverkehr.de,026 07551,2026-02-04,https://www.azubi.de/ausbildungsplatz/11449525-b-ausbildung-zur-fachkraft-im-fahrbetrieb-m-w-d-ab-august-2026-in-zwickau
"Fahrbetrieb, Fachkraft","Auszubildender zur Fachkraft im Fahrbetrieb (m, w, d)
Regionalbus UH-u.Kyffh.-kreis GmbH
01.08.2026
99974 Mühlhausen/Thüringen, Sondershausen, Thüringen
Duale Ausbildung",Regionalbus UH-u.Kyffh.-kreis GmbH,N/A,personal@regionalbus.de,026 99974,2026-01-28,https://www.azubi.de/ausbildungsplatz/11391881-b-auszubildender-zur-fachkraft-im-fahrbetrieb-m-w-d
