category,job_title,company,location,email,phone,start_date,job_url
Handelsfachwirt/in,"Abiturientenprogramm Filiale Handelsfachwirt (m/w/d) 2026
Kaufland
Premium
01.08.2026
70378 Stuttgart, DE, 70378
1.350 – 1.500 €
1350 bis 1500 €
Duale Ausbildung",Kaufland,N/A,navig@or.userlanguage,026 71332,2026-02-23,https://www.azubi.de/ausbildungsplatz/10449315-p-abiturientenprogramm-filiale-handelsfachwirt-m-w-d-2026
Handelsfachwirt/in,"Abiturientenprogramm - Handelsfachwirt (m/w/d)
OBI Group Holding
Premium
01.08.2026
35576 Wetzlar
Duale Ausbildung",OBI Group Holding,N/A,navig@or.userlanguage,026 35398,01.08.2026,https://www.azubi.de/ausbildungsplatz/10450890-p-abiturientenprogramm-handelsfachwirt-m-w-d
Handelsfachwirt/in,"Handelsfachwirt (Abiturientenprogramm) (m/w/d) Oberhausen
Peek & Cloppenburg* B.V. & Co. KG, Düsseldorf
Premium
01.08.2026
Oberhausen
Duale Ausbildung","Peek &amp; Cloppenburg* B.V. &amp; Co. KG, Düsseldorf",N/A,karriere@peek-cloppenburg.de,04186968,2026-02-25,https://www.azubi.de/ausbildungsplatz/11608581-p-handelsfachwirt-abiturientenprogramm-m-w-d-oberhausen
Handelsfachwirt/in,"Abiturientenprogramm zum geprüften Handelsfachwirt (m/w/d)
Fressnapf Holding SE
Premium
01.08.2026
56218 Mülheim
Neu
Duale Ausbildung",Fressnapf Holding SE,N/A,navig@or.userlanguage,026 45475,2026-02-27,https://www.azubi.de/ausbildungsplatz/11142916-p-abiturientenprogramm-zum-geprueften-handelsfachwirt-m-w-d
Handelsfachwirt/in,"Handelsfachwirt (Abiturientenprogramm) (m/w/d) Nürnberg
ANSON’S Herrenhaus GmbH & Co. KG
Premium
01.08.2026
90402 Nürnberg
Duale Ausbildung",ANSON’S Herrenhaus GmbH &amp; Co. KG,N/A,navig@or.userlanguage,026 90443,2026-02-24,https://www.azubi.de/ausbildungsplatz/11336259-p-handelsfachwirt-abiturientenprogramm-m-w-d-nuernberg
Handelsfachwirt/in,"Ausbildung Handelsfachwirt/in (m/w/d), (Abi-Ausbildung)
akzenta GmbH & Co. KG
Premium
01.08.2026
42283 Wuppertal
1.220 – 1.360 €
1220 bis 1360 €
Duale Ausbildung
5 freie Stellen",akzenta GmbH &amp; Co. KG,N/A,navig@or.userlanguage,0124631,2026-02-24,https://www.azubi.de/ausbildungsplatz/10791122-p-ausbildung-handelsfachwirt-in-m-w-d-abi-ausbildung
Handelsfachwirt/in,"Ausbildung Handelsfachwirtin integriert (m/w/d) - 2026
E center Hartmann
01.08.2026
32351 Stemwede
Neu
Duale Ausbildung",EDEKA ZENTRALE Stiftung &amp; Co. KG,N/A,navig@or.userlanguage,026 32312,2026-02-27,https://www.azubi.de/ausbildungsplatz/10357629-s-ausbildung-handelsfachwirtin-integriert-m-w-d-2026
Handelsfachwirt/in,"Abiturientenprogramm Handelsfachwirt 2026 (m/w/d)
ALDI SÜD
01.08.2026
41470 Neuss-Allerheiligen
Neu
Duale Ausbildung",ALDI SÜD,N/A,navig@or.userlanguage,026 41464,2026-02-27,https://www.azubi.de/ausbildungsplatz/11560811-s-abiturientenprogramm-handelsfachwirt-2026-m-w-d
Handelsfachwirt/in,"Abi-Ausbildung Einzelhandel / Handelsfachwirt (m/w/d) in Witten
Alnatura Produktions- und Handels GmbH
01.08.2026
58452 Witten
Neu
Duale Ausbildung",Alnatura Produktions- und Handels GmbH,N/A,navig@or.userlanguage,026 58453,2026-02-27,https://www.azubi.de/ausbildungsplatz/10357510-s-abi-ausbildung-einzelhandel-handelsfachwirt-m-w-d-in-witten
Handelsfachwirt/in,"Aus- und Fortbildung zum Handelsfachwirt (m/w/d)
Action Deutschland GmbH
01.09.2026
26409 Wittmund
Neu
Duale Ausbildung",Action Deutschland GmbH,N/A,navig@or.userlanguage,026 26409,2026-02-27,https://www.azubi.de/ausbildungsplatz/10610255-s-aus-und-fortbildung-zum-handelsfachwirt-m-w-d
Handelsfachwirt/in,"Abiturientenprogramm zum Geprüften Handelsfachwirt (m/w/d)
TEDi GmbH & Co. KG
01.08.2026
91522 Ansbach
Neu
Duale Ausbildung",TEDi GmbH &amp; Co. KG,N/A,navig@or.userlanguage,026 91522,2026-02-27,https://www.azubi.de/ausbildungsplatz/10357512-s-abiturientenprogramm-zum-geprueften-handelsfachwirt-m-w-d
Handelsfachwirt/in,"Handelsfachwirt - Ausbildung und Fortbildung (m/w/d) Darmstadt
BAUHAUS
01.08.2026
64293 Darmstadt
Neu
Duale Ausbildung",BAUHAUS,N/A,navig@or.userlanguage,026 64331,2026-02-27,https://www.azubi.de/ausbildungsplatz/10610360-s-handelsfachwirt-ausbildung-und-fortbildung-m-w-d-darmstadt
Handelsfachwirt/in,"Handelsfachwirt im Einkauf Deko | Ausbildung & Weiterbildung Abiprogramm 2026 (m/w/d)
XXXL Zentrale Würzburg
01.09.2026
97084 Würzburg
Neu
Duale Ausbildung
2 freie Stellen",XXXLutz Deutschland,N/A,navig@or.userlanguage,026 97076,2026-02-27,https://www.azubi.de/ausbildungsplatz/11560707-s-handelsfachwirt-im-einkauf-deko-ausbildung-weiterbildung-abiprogramm-2026-m-w-d
