category,job_title,company,location,email,phone,start_date,job_url
Kaufmann/frau Spedition und Logistikdienstleistung,"Ausbildung Kaufmann (m/w/d) für Spedition und Logistikdienstleistung
Deutsche Post DHL
Premium
01.08.2026
Duisburg
1.200 – 1.400 €
1200 bis 1400 €
Neu
Duale Ausbildung",Deutsche Post DHL,N/A,michaela.loeffler@de.gerlachcs.com,026 47229,01.08.2026,https://www.azubi.de/ausbildungsplatz/11209068-p-ausbildung-kaufmann-m-w-d-fuer-spedition-und-logistikdienstleistung
Kaufmann/frau Spedition und Logistikdienstleistung,"Ausbildung Kaufmann/-frau für Spedition und Logistikdienstleistung (m/w/d)
Deutsche Post DHL
Premium
01.08.2026
Duisburg
1.200 – 1.400 €
1200 bis 1400 €
Neu
Duale Ausbildung",Deutsche Post DHL,N/A,diana.turovskiy@dhl.com,026 47229,01.08.2026,https://www.azubi.de/ausbildungsplatz/11209715-p-ausbildung-kaufmann-frau-fuer-spedition-und-logistikdienstleistung-m-w-d
Kaufmann/frau Spedition und Logistikdienstleistung,"Ausbildung: Kaufmann für Spedition und Logistikdienstleistung (w/m/d) 2026
DSV Global Transport and Logistics
Premium
01.08.2026
04158 Leipzig
kein Anschreiben nötig
Duale Ausbildung",DSV Global Transport and Logistics,N/A,navig@or.language,+49 (0) 341 46778 101,2026-02-25,https://www.azubi.de/ausbildungsplatz/11244573-p-ausbildung-kaufmann-fuer-spedition-und-logistikdienstleistung-w-m-d-2026
Kaufmann/frau Spedition und Logistikdienstleistung,"Ausbildung Kaufmann/-frau für Spedition und Logistikdienstleistung (m/w/d) in 2026
Deutsche Post DHL
Premium
01.08.2026
Nürnberg
1.200 – 1.400 €
1200 bis 1400 €
Duale Ausbildung",Deutsche Post DHL,N/A,handicap_naund@dhl.com,026 90451,01.08.2026,https://www.azubi.de/ausbildungsplatz/11209363-p-ausbildung-kaufmann-frau-fuer-spedition-und-logistikdienstleistung-m-w-d-in-2026
Kaufmann/frau Spedition und Logistikdienstleistung,"Ausbildung als Kauffrau/-mann (m/w/d) für Spedition & Logistikdienstleistung
Deutsche Post DHL
Premium
01.08.2026
Langenhagen
1.200 – 1.400 €
1200 bis 1400 €
Duale Ausbildung",Deutsche Post DHL,N/A,bewerbung.dhl@dhl.com,026 30855,01.08.2026,https://www.azubi.de/ausbildungsplatz/11391829-p-ausbildung-als-kauffrau-mann-m-w-d-fuer-spedition-logistikdienstleistung
Kaufmann/frau Spedition und Logistikdienstleistung,"Ausbildung Kaufmann für Spedition und Logistikdienstleistung 2026 (w/m/d)
Deutsche Bahn AG
Premium
01.09.2026
Schwandorf
Duale Ausbildung",Deutsche Bahn AG,N/A,navig@or.language,026 93133,01.09.2026,https://www.azubi.de/ausbildungsplatz/11584997-p-ausbildung-kaufmann-fuer-spedition-und-logistikdienstleistung-2026-w-m-d
Kaufmann/frau Spedition und Logistikdienstleistung,"Ausbildung Kaufmann/-frau für Spedition und Logistikdienstleistung (m/w/d)
Deutsche Post DHL
Premium
01.08.2026
Würselen
1.200 – 1.400 €
1200 bis 1400 €
Neu
Duale Ausbildung",Deutsche Post DHL,N/A,dirk.opfer@dhl.com,026 52134,01.08.2026,https://www.azubi.de/ausbildungsplatz/11209197-p-ausbildung-kaufmann-frau-fuer-spedition-und-logistikdienstleistung-m-w-d
Kaufmann/frau Spedition und Logistikdienstleistung,"Ausbildung Kaufmann/-frau für Spedition und Logistikdienstleistung (m/w/d)
Deutsche Post DHL
Premium
01.08.2026
Kelsterbach
1.200 – 1.400 €
1200 bis 1400 €
Neu
Duale Ausbildung",Deutsche Post DHL,N/A,miso.masic@dhl.com,026 60549,01.08.2026,https://www.azubi.de/ausbildungsplatz/11209616-p-ausbildung-kaufmann-frau-fuer-spedition-und-logistikdienstleistung-m-w-d
Kaufmann/frau Spedition und Logistikdienstleistung,"Kaufmann/-frau für Spedition und Logistikdienstleistung (m/w/d)
BAT Agrar GmbH & Co. KG
Premium
01.08.2026
39126 Magdeburg
Duale Ausbildung",BAT Agrar GmbH &amp; Co. KG,N/A,navig@or.language,026 39126,2026-02-26,https://www.azubi.de/ausbildungsplatz/10434458-p-kaufmann-frau-fuer-spedition-und-logistikdienstleistung-m-w-d
Kaufmann/frau Spedition und Logistikdienstleistung,"Ausbildung Kaufmann/-frau für Spedition und Logistikdienstleistung (m/w/d)
Deutsche Post DHL
Premium
01.08.2026
Saarbrücken
1.200 – 1.400 €
1200 bis 1400 €
Neu
Duale Ausbildung",Deutsche Post DHL,N/A,daniela.nenno@dhl.com,026 66740,01.08.2026,https://www.azubi.de/ausbildungsplatz/11209159-p-ausbildung-kaufmann-frau-fuer-spedition-und-logistikdienstleistung-m-w-d
