category,job_title,company,location,email,phone,start_date,job_url
Kaufmann/frau für Groß- und Außenhandelsmanagement,"Ausbildung - Kaufmann / Kauffrau für Groß- und Außenhandelsmanagement (m/w/d)
OBI Group Holding
Premium
01.08.2026
42929 Wermelskirchen
Duale Ausbildung",OBI Group Holding,N/A,navig@or.userlanguage,026 42699,01.08.2026,https://www.azubi.de/ausbildungsplatz/10506417-p-ausbildung-kaufmann-kauffrau-fuer-gross-und-aussenhandelsmanagement-m-w-d
Kaufmann/frau für Groß- und Außenhandelsmanagement,"Auszubildende/r zur/ zum Kauffrau/-mann im Groß- und Außenhandelsmanagement*
Ledlenser GmbH & Co. KG
Premium
01.08.2026
42699 Solingen
Duale Ausbildung",Ledlenser GmbH &amp; Co. KG,N/A,navig@or.userlanguage,026 42929,2026-02-26,https://www.azubi.de/ausbildungsplatz/11616058-p-auszubildende-r-zur-zum-kauffrau-mann-im-gross-und-aussenhandelsmanagement
Kaufmann/frau für Groß- und Außenhandelsmanagement,"Ausbildung zum Kaufmann im Groß- und Außenhandel (m/w/d)
Höcker GmbH
Premium
01.08.2026
49134 Wallenhorst
1.320 – 1.430 €
1320 bis 1430 €
Duale Ausbildung",Höcker GmbH,N/A,job@hoecker.de,05407-890 0,2026-02-24,https://www.azubi.de/ausbildungsplatz/10562021-p-ausbildung-zum-kaufmann-im-gross-und-aussenhandel-m-w-d
Kaufmann/frau für Groß- und Außenhandelsmanagement,"Ausbildung zum Kaufmann/ zur Kauffrau für Groß- und Außenhandelsmanagement – Fachrichtung Außenhandel (m/w/d)
MITSUI & Co. Deutschland GmbH
Premium
01.09.2026
40217 Düsseldorf
Neu
Duale Ausbildung
2 freie Stellen",MITSUI &amp; Co. Deutschland GmbH,N/A,recruitingdusaj@mitsui.com,026 47809,2026-02-27,https://www.azubi.de/ausbildungsplatz/11640073-p-ausbildung-zum-kaufmann-zur-kauffrau-fuer-gross-und-aussenhandelsmanagement-fachrichtung-aussenhandel-m-w-d
Kaufmann/frau für Groß- und Außenhandelsmanagement,"Kaufmann/-frau für Groß- und Außenhandelsmanagement (m/w/d)
BAT Agrar GmbH & Co. KG
Premium
01.08.2026
97461 Hofheim in Unterfranken
Duale Ausbildung",BAT Agrar GmbH &amp; Co. KG,N/A,navig@or.userlanguage,026 97461,2026-02-25,https://www.azubi.de/ausbildungsplatz/10425261-p-kaufmann-frau-fuer-gross-und-aussenhandelsmanagement-m-w-d
Kaufmann/frau für Groß- und Außenhandelsmanagement,"Ausbildung zum/zur Kaufmann/-frau im Groß- und Außenhandelsmanagement (w/m/d)
MITEGRO GmbH & Co. KG
Premium
01.08.2026
30163 Hannover
Duale Ausbildung
Homeoffice möglich",MITEGRO GmbH &amp; Co. KG,N/A,navig@or.userlanguage,026 30167,2026-02-23,https://www.azubi.de/ausbildungsplatz/11335813-p-ausbildung-zum-zur-kaufmann-frau-im-gross-und-aussenhandelsmanagement-w-m-d
Kaufmann/frau für Groß- und Außenhandelsmanagement,"Ausbildung Kaufmann/-frau für Groß- und Außenhandelsmanagement (m/w/d)
Jedele Farben und Heimtex Großhandel GmbH
Premium
01.09.2026
73527 Schwäbisch Gmünd-Hussenhofen
Neu
Schnellbewerbung
Duale Ausbildung",Jedele Farben und Heimtex Großhandel GmbH,N/A,karriere@jedele.de,07361/5726-65,2026-02-27,https://www.azubi.de/ausbildungsplatz/9961090-p-ausbildung-kaufmann-frau-fuer-gross-und-aussenhandelsmanagement-m-w-d
Kaufmann/frau für Groß- und Außenhandelsmanagement,"Ausbildung zum Kaufmann für Groß- und Außenhandelsmanagement (m/w/d)
Fressnapf Holding SE
Premium
01.08.2026
47809 Krefeld
Duale Ausbildung",Fressnapf Holding SE,N/A,navig@or.userlanguage,026 40217,2026-02-23,https://www.azubi.de/ausbildungsplatz/11594073-p-ausbildung-zum-kaufmann-fuer-gross-und-aussenhandelsmanagement-m-w-d
Kaufmann/frau für Groß- und Außenhandelsmanagement,"Kaufmann im Groß- und Außenhandelsmanagement (m/w/d)
Speicherstadt Kaffeerösterei
Premium
01.08.2026
20457 Hamburg-Mitte - Steinwerder
Schnellbewerbung
Duale Ausbildung",Hacienda San Nicolàs GmbH,N/A,bewerbung@speicherstadt-kaffee.de,026 22767,2026-02-25,https://www.azubi.de/ausbildungsplatz/10216482-p-kaufmann-im-gross-und-aussenhandelsmanagement-m-w-d
Kaufmann/frau für Groß- und Außenhandelsmanagement,"Ausbildung zum Kaufmann für Groß- und Außenhandelsmanagement (m/w/d) - Velten
ALBA Wertstoffmanagement GmbH
Premium
01.09.2026
16727 Velten
Neu
Duale Ausbildung",ALBA Wertstoffmanagement GmbH,N/A,navig@or.userlanguage,026 16727,01.09.2026,https://www.azubi.de/ausbildungsplatz/11638581-p-ausbildung-zum-kaufmann-fuer-gross-und-aussenhandelsmanagement-m-w-d-velten
