category,job_title,company,location,email,phone,start_date,job_url
Steinmetz/in und Steinbildhauer/in,"Naturwerksteinmechaniker (m/w/d) - Fachrichtung Steinmetztechnik oder Maschinenbearbeitungstechnik
HOFMANN NATURSTEIN GmbH & Co. KG
01.09.2026
97956 Gamburg
Schnellbewerbung
Duale Ausbildung
3 freie Stellen",HOFMANN NATURSTEIN GmbH &amp; Co. KG,N/A,loc@ion.href,025 97277,2026-02-17,https://www.azubi.de/ausbildungsplatz/10241205-s-naturwerksteinmechaniker-m-w-d-fachrichtung-steinmetztechnik-oder-maschinenbearbeitungstechnik
Steinmetz/in und Steinbildhauer/in,"Ausbildung in München und Weßling
Dr. Pfanner GmbH Steinmetz & Bildhauer
01.09.2026
82234 Weßling, Oberbayern, München
Duale Ausbildung",Dr. Pfanner GmbH Steinmetz &amp; Bildhauer,N/A,loc@ion.href,026 82256,2026-02-20,https://www.azubi.de/ausbildungsplatz/11616820-b-ausbildung-in-muenchen-und-wessling
Steinmetz/in und Steinbildhauer/in,"Ausbildung als Steinmetz (w/m/d)
Natursteine Strobel
01.09.2026
91278 Pottenstein, Oberfranken
Duale Ausbildung",Natursteine Strobel,N/A,loc@ion.href,026 96155,2026-02-16,https://www.azubi.de/ausbildungsplatz/11589751-b-ausbildung-als-steinmetz-w-m-d
Steinmetz/in und Steinbildhauer/in,"Ausbildung 2026: Steinmetz/in / Steinbildhauer/in Fachrichtung Restaurierung
Monolith Bildhauerei u. Steinrestaurierung GmbH
01.09.2026
96049 Bamberg
Duale Ausbildung",Monolith Bildhauerei u. Steinrestaurierung GmbH,N/A,loc@ion.href,026 96155,2026-02-06,https://www.azubi.de/ausbildungsplatz/11475561-b-ausbildung-2026-steinmetz-in-steinbildhauer-in-fachrichtung-restaurierung
Steinmetz/in und Steinbildhauer/in,"Ausbildung 2026 - Steinmetz und Steinbildhauer (m/w/d) - Praktikum möglich
Matthias Wittner Steinbearbeitung und Restaurierung GmbH & Co. KG
01.09.2026
86738 Deiningen
Duale Ausbildung",Matthias Wittner Steinbearbeitung und Restaurierung GmbH &amp; Co. KG,N/A,info@wittner-denkmalpflege.de,026 86738,2026-02-06,https://www.azubi.de/ausbildungsplatz/11475364-b-ausbildung-2026-steinmetz-und-steinbildhauer-m-w-d-praktikum-moeglich
Steinmetz/in und Steinbildhauer/in,"2026
Krupp Naturstein GmbH
01.08.2026
65529 Waldems
Duale Ausbildung",Krupp Naturstein GmbH,N/A,info@krupp-naturstein.de,06087-2359,2026-02-05,https://www.azubi.de/ausbildungsplatz/11457120-b-2026
Steinmetz/in und Steinbildhauer/in,"Ausbildungsstelle 2026 als Steinmetz/in und Steinbildhauer/in - Steinmetzarbeiten
Zentgraf u. Vey Steingestaltungs-GmbH
01.09.2026
97650 Fladungen
Duale Ausbildung",Zentgraf u. Vey Steingestaltungs-GmbH,N/A,loc@ion.href,026 97650,2026-02-01,https://www.azubi.de/ausbildungsplatz/11416908-b-ausbildungsstelle-2026-als-steinmetz-in-und-steinbildhauer-in-steinmetzarbeiten
Steinmetz/in und Steinbildhauer/in,"Steinmetz/in und Steinbildhauer/in - Steinmetzarbeiten
Maurer Objekt GmbH
28.01.2026
74177 Bad Friedrichshall
Duale Ausbildung",Maurer Objekt GmbH,N/A,loc@ion.href,026 74177,2026-01-23,https://www.azubi.de/ausbildungsplatz/11363596-b-steinmetz-in-und-steinbildhauer-in-steinmetzarbeiten
Steinmetz/in und Steinbildhauer/in,"Werde Steinmetz/in ... und Deine Zukunft ist gesichert Azubi 2027
Naturstein-Meißner GmbH
01.09.2027
92715 Püchersreuth
Duale Ausbildung",Naturstein-Meißner GmbH,N/A,loc@ion.href,026 92715,2026-01-21,https://www.azubi.de/ausbildungsplatz/11340272-b-werde-steinmetz-in-und-deine-zukunft-ist-gesichert-azubi-2027
Steinmetz/in und Steinbildhauer/in,"Ausbildung 2026 ""Praktikum möglich"" - Beginn: ab sofort
Poly Natursteine & Fliesen GmbH
01.08.2026
55758 Veitsrodt
Duale Ausbildung",Poly Natursteine &amp; Fliesen GmbH,N/A,loc@ion.href,026 55618,2026-01-21,https://www.azubi.de/ausbildungsplatz/11340415-b-ausbildung-2026-praktikum-moeglich-beginn-ab-sofort
Steinmetz/in und Steinbildhauer/in,"Ausbildung 2026
Grabmalwerk Alexander Parsch GmbH
01.08.2026
35423 Lich, Hessen
Duale Ausbildung",Grabmalwerk Alexander Parsch GmbH,N/A,loc@ion.href,026 35418,2026-01-21,https://www.azubi.de/ausbildungsplatz/11340325-b-ausbildung-2026
Steinmetz/in und Steinbildhauer/in,"Ausbildung zum Steinmetz und Steinbildhauer (m/w/d)
Bastian Korves
01.08.2026
49811 Lingen (Ems)
Duale Ausbildung",Bastian Korves,N/A,loc@ion.href,026 49811,2025-12-31,https://www.azubi.de/ausbildungsplatz/11202532-b-ausbildung-zum-steinmetz-und-steinbildhauer-m-w-d
Steinmetz/in und Steinbildhauer/in,"Ausbildung zum Steinmetz (m/w/d)
Fuchs u Girke Bau und Denkmalpflege GmbH
01.08.2026
01458 Ottendorf-Okrilla
Duale Ausbildung",Fuchs u Girke Bau und Denkmalpflege GmbH,N/A,bewerbung@fuchs-girke.com,+49 35205 436-0,2025-12-18,https://www.azubi.de/ausbildungsplatz/11125183-b-ausbildung-zum-steinmetz-m-w-d
Steinmetz/in und Steinbildhauer/in,"Ausbildung 2026 - Praktikum möglich
Martin Merz e.K. Steinmetzbetrieb
01.08.2026
63667 Nidda
Duale Ausbildung",Martin Merz e.K. Steinmetzbetrieb,N/A,loc@ion.href,026 35423,2025-12-18,https://www.azubi.de/ausbildungsplatz/11125262-b-ausbildung-2026-praktikum-moeglich
Steinmetz/in und Steinbildhauer/in,"Ausbildung 2026 - Steinmetz/in (m/w/d)
Granitwerk Kronach Gläsel & Weber GmbH
01.09.2026
96317 Kronach, Oberfranken
Duale Ausbildung",Granitwerk Kronach Gläsel &amp; Weber GmbH,N/A,jobs@gwkronach.de,efon: 09261 -5453-19.,2025-12-14,https://www.azubi.de/ausbildungsplatz/11100958-b-ausbildung-2026-steinmetz-in-m-w-d
Steinmetz/in und Steinbildhauer/in,"Ausbildung oder Umschulung als Steinmetz/in und Steinbildhauer/in - Steinmetzarbeiten (m/w/d) 2026
Natursteinwerk Borst GmbH & Co. KG
01.09.2026
97271 Kleinrinderfeld
Duale Ausbildung",Natursteinwerk Borst GmbH &amp; Co. KG,N/A,bewerbung@natursteinwerk-borst.de,09366/90061-83,2025-12-14,https://www.azubi.de/ausbildungsplatz/11101185-b-ausbildung-oder-umschulung-als-steinmetz-in-und-steinbildhauer-in-steinmetzarbeiten-m-w-d-2026
Steinmetz/in und Steinbildhauer/in,"Ausbildung 2026: Steinmetz/in und Steinbildhauer/in (m/w/d)
Naturstein Balz Holger Balz
01.08.2026
55252 Mainz-Kastel
Duale Ausbildung",Naturstein Balz Holger Balz,N/A,loc@ion.href,026 55252,2025-12-13,https://www.azubi.de/ausbildungsplatz/11093802-b-ausbildung-2026-steinmetz-in-und-steinbildhauer-in-m-w-d
Steinmetz/in und Steinbildhauer/in,"Ausbildung Steinmetz (m/w/d) 2026
Michael Götzfried Steinmetzbetrieb
01.08.2026
94315 Straubing
Duale Ausbildung
Vollzeit/Teilzeit",Michael Götzfried Steinmetzbetrieb,N/A,info@naturstein-goetzfried.de,0171-2103481,2025-12-06,https://www.azubi.de/ausbildungsplatz/11015547-b-ausbildung-steinmetz-m-w-d-2026
Steinmetz/in und Steinbildhauer/in,"Steinmetz/in und Steinbildhauer/in - Steinmetzarbeiten
Denkmalpflege Mühlhausen Huschenbeth GmbH & Co KG
01.08.2026
99974 Mühlhausen/Thüringen
Duale Ausbildung",Denkmalpflege Mühlhausen Huschenbeth GmbH &amp; Co KG,N/A,loc@ion.href,026 99974,2025-12-06,https://www.azubi.de/ausbildungsplatz/11015444-b-steinmetz-in-und-steinbildhauer-in-steinmetzarbeiten
Steinmetz/in und Steinbildhauer/in,"Ausbildung 2026 als Steinmetz/Steinbildhauer (m/w/d)
Lauterbach & Schiller Grabmale
01.09.2026
95339 Wirsberg
Duale Ausbildung",Lauterbach &amp; Schiller Grabmale,N/A,loc@ion.href,026 95339,2025-11-28,https://www.azubi.de/ausbildungsplatz/10950946-b-ausbildung-2026-als-steinmetz-steinbildhauer-m-w-d
