category,job_title,company,location,email,phone,start_date,job_url
Zahnmedizinische/r Fachangestellte/r,"Ausbildung zur/m Zahnmedizinischen Fachangestellten (m/w/d)
Kinderzahnarztpraxis Dr. Christina Jürgensen
Premium
01.09.2026
90403 Nürnberg
900 – 1.100 €
900 bis 1100 €
Schnellbewerbung
Duale Ausbildung",Kinderzahnarztpraxis Dr. Christina Jürgensen,N/A,tcd@a.customvendorconsents,0592493,2026-02-20,https://www.azubi.de/ausbildungsplatz/11010786-p-ausbildung-zur-m-zahnmedizinischen-fachangestellten-m-w-d
Zahnmedizinische/r Fachangestellte/r,"Auszubildende/r (m/w/d) zur Zahnmedizinischen Fachangestellten
Zahnärzte im Ostallgäu Biessenhofen | Dr. Nemec & Kollegen
01.08.2026
87640 Biessenhofen
Neu
Schnellbewerbung
Duale Ausbildung",Acura Management &amp; Service GmbH,N/A,bewerbung@zukunftzahn.de,026 87640,2026-02-27,https://www.azubi.de/ausbildungsplatz/11638885-s-auszubildende-r-m-w-d-zur-zahnmedizinischen-fachangestellten
Zahnmedizinische/r Fachangestellte/r,"Auszubildende/r (m/w/d) zur Zahnmedizinischen Fachangestellten
Mund-Kiefer-Gesichtschirurgie Dr. Dr. Bengt Zikarsky & Kollegen MVZ GmbH
01.08.2026
90489 Nürnberg
Neu
Schnellbewerbung
Duale Ausbildung",Acura Management &amp; Service GmbH,N/A,praxis@drzikarsky.de,050247146482853,2026-02-27,https://www.azubi.de/ausbildungsplatz/11638883-s-auszubildende-r-m-w-d-zur-zahnmedizinischen-fachangestellten
Zahnmedizinische/r Fachangestellte/r,"Ausbildung zur/zum Zahnmedizinischen Fachangestellten (m/w/d) 2026
Bundeswehr
01.08.2026
52076 Aachen
Neu
Duale Ausbildung
Vollzeit/Teilzeit",Bundeswehr,N/A,bwdlzaachenpersutarif@bundeswehr.org,025-00004019,2026-02-26,https://www.azubi.de/ausbildungsplatz/11554646-s-ausbildung-zur-zum-zahnmedizinischen-fachangestellten-m-w-d-2026
Zahnmedizinische/r Fachangestellte/r,"Ausbildung zur/ zum Zahnmedizinischen Fachangestellten (m/w/d) 2026
Bundeswehr
01.08.2026
25917 Stadum
Neu
Duale Ausbildung",Bundeswehr,N/A,tcd@a.customvendorconsents,025-00004223,2026-02-26,https://www.azubi.de/ausbildungsplatz/11398570-s-ausbildung-zur-zum-zahnmedizinischen-fachangestellten-m-w-d-2026
Zahnmedizinische/r Fachangestellte/r,"Ausbildung Zahnmedizinische Fachangestellte/Zahnmedizinischer Fachangestellter (m/w/d)
Bundeswehr
01.09.2026
92245 Kümmersbruck
Neu
Duale Ausbildung",Bundeswehr,N/A,bwdlzambergpersonalangelegenheiten@bundeswehr.org,025-00004401,2026-02-25,https://www.azubi.de/ausbildungsplatz/11548706-s-ausbildung-zahnmedizinische-fachangestellte-zahnmedizinischer-fachangestellter-m-w-d
Zahnmedizinische/r Fachangestellte/r,"Ausbildung Zahnmedizinische Fachangestellte/Zahnmedizinischer Fachangestellter (m/w/d)
Bundeswehr
01.09.2026
80937 München
Duale Ausbildung",Bundeswehr,N/A,bwdlzmuenchenpersonalangelegenheiten@bundeswehr.org,024-00008475,2026-02-25,https://www.azubi.de/ausbildungsplatz/11548715-s-ausbildung-zahnmedizinische-fachangestellte-zahnmedizinischer-fachangestellter-m-w-d
Zahnmedizinische/r Fachangestellte/r,"Ausbildung zur / zum Zahnmedizinischen Fachangestellten (m/w/d)
Bundeswehr
01.08.2026
54550 Daun
Duale Ausbildung",Bundeswehr,N/A,bwdlzmayenpersonalangelegenheiten@bundeswehr.org,025-00004236,2026-02-25,https://www.azubi.de/ausbildungsplatz/11632604-s-ausbildung-zur-zum-zahnmedizinischen-fachangestellten-m-w-d
Zahnmedizinische/r Fachangestellte/r,"Ausbildung zur Zahnmedizinischen Fachangestellten / zum Zahnmedizinischen Fachangestellten (m/w/d)
Bundeswehr
01.08.2027
56072 Koblenz
Duale Ausbildung",Bundeswehr,N/A,bwdlzkoblenzpersonalangelegenheiten@bundeswehr.org,025-00007068,2026-02-20,https://www.azubi.de/ausbildungsplatz/10650873-s-ausbildung-zur-zahnmedizinischen-fachangestellten-zum-zahnmedizinischen-fachangestellten-m-w-d
Zahnmedizinische/r Fachangestellte/r,"Zahnmedizinische Fachangestellte / Zahnmedizinischer Fachangestellter (m/w/d)
Bundeswehr
01.08.2026
55743 Idar-Oberstein
Duale Ausbildung",Bundeswehr,N/A,bwdlzidarobersteinbewerbungen@bundeswehr.org,025-00004276,2026-02-20,https://www.azubi.de/ausbildungsplatz/11363847-s-zahnmedizinische-fachangestellte-zahnmedizinischer-fachangestellter-m-w-d
