category,job_title,company,location,email,phone,start_date,job_url
"Elektroniker/in, Betriebstechnik","Ausbildung Elektroniker:in für Betriebstechnik 2026
Deutsche Bahn AG
Premium
01.09.2026
Groß Umstadt
Duale Ausbildung
Teilzeit",Deutsche Bahn AG,N/A,window.d@alayer.push,026 64747,01.09.2026,https://www.azubi.de/ausbildungsplatz/11285549-p-ausbildung-elektroniker-in-fuer-betriebstechnik-2026
"Elektroniker/in, Betriebstechnik","Ausbildung zum Elektroniker für Betriebstechnik 2026 (m/w/d)
SMS group GmbH
Premium
01.09.2026
57271 Hilchenbach
1.242 – 1.485 €
1242 bis 1485 €
Duale Ausbildung",SMS group GmbH,N/A,window.d@alayer.push,+49 2733 29-2506,2026-02-23,https://www.azubi.de/ausbildungsplatz/10372846-p-ausbildung-zum-elektroniker-fuer-betriebstechnik-2026-m-w-d
"Elektroniker/in, Betriebstechnik","Ausbildung zum Elektroniker für Betriebstechnik (m/w/d)
Harry-Brot GmbH
Premium
01.09.2026
85232 Bergkirchen
Neu
Duale Ausbildung",Harry-Brot GmbH,N/A,window.d@alayer.push,026 80992,2026-02-26,https://www.azubi.de/ausbildungsplatz/11303053-p-ausbildung-zum-elektroniker-fuer-betriebstechnik-m-w-d
"Elektroniker/in, Betriebstechnik","Auszubildenden (m/w/d) zum Elektroniker für Betriebstechnik
Müritz Milch GmbH
Premium
01.08.2026
17192 Waren
1.300 €
1300 €
Duale Ausbildung",DMK Deutsches Milchkontor GmbH,N/A,tamara.gerski@dmk.de,026 17213,2026-02-20,https://www.azubi.de/ausbildungsplatz/11142925-p-auszubildenden-m-w-d-zum-elektroniker-fuer-betriebstechnik
"Elektroniker/in, Betriebstechnik","Noch keinen Plan? Wir schon! Ausbildung im Bereich Technik oder Produktion (m/w/d)
BASF
Premium
01.09.2026
67056 Ludwigshafen am Rhein
Neu
Duale Ausbildung",BASF,N/A,lisa.nabra@basf.com,+49(0)30 2005 58195,2026-02-26,https://www.azubi.de/ausbildungsplatz/11398310-p-noch-keinen-plan-wir-schon-ausbildung-im-bereich-technik-oder-produktion-m-w-d
"Elektroniker/in, Betriebstechnik","Ausbildung Elektroniker:in (m/w/d) für Betriebstechnik
BASF
Premium
01.09.2026
67056 Ludwigshafen
Neu
Duale Ausbildung",BASF,N/A,katrin.statnick@basf.com,+49(0)30 2005 58118,2026-02-26,https://www.azubi.de/ausbildungsplatz/11398309-p-ausbildung-elektroniker-in-m-w-d-fuer-betriebstechnik
"Elektroniker/in, Betriebstechnik","Ausbildung zum Elektroniker für Betriebstechnik (m/w/d)
ENGIE Deutschland GmbH
Premium
01.08.2026
79108 Freiburg
Neu
Duale Ausbildung
2 freie Stellen",ENGIE Deutschland GmbH,N/A,window.d@alayer.push,026 79115,2026-02-26,https://www.azubi.de/ausbildungsplatz/10997640-p-ausbildung-zum-elektroniker-fuer-betriebstechnik-m-w-d
"Elektroniker/in, Betriebstechnik","Ausbildung - Elektroniker*in für Betriebstechnik (m/w/d) 2026
Stadtwerke München GmbH
Premium
01.09.2026
80992 München
Noch 2 Tage online
Duale Ausbildung
Homeoffice möglich
18 freie Stellen",Stadtwerke München GmbH,N/A,window.d@alayer.push,089 2361-2198,2026-02-23,https://www.azubi.de/ausbildungsplatz/10355867-p-ausbildung-elektroniker-in-fuer-betriebstechnik-m-w-d-2026
"Elektroniker/in, Betriebstechnik","Ausbildung zum Elektroniker für Betriebstechnik (m/w/d)
DPD Deutschland GmbH
Premium
01.08.2026
21107 Hamburg
980 – 1.230 €
980 bis 1230 €
Duale Ausbildung",DPD Deutschland GmbH,N/A,window.d@alayer.push,026 20099,01.09.2026,https://www.azubi.de/ausbildungsplatz/10826709-p-ausbildung-zum-elektroniker-fuer-betriebstechnik-m-w-d
"Elektroniker/in, Betriebstechnik","Ausbildung zum Elektroniker für Betriebstechnik (m/w/d)
SPITZKE SE
Premium
15.08.2025
14979 Großbeeren
1.122 – 1.714 €
1122 bis 1714 €
Schnellbewerbung
Duale Ausbildung",SPITZKE SE,N/A,window.d@alayer.push,+49 173 978 1579,2026-02-24,https://www.azubi.de/ausbildungsplatz/10851262-p-ausbildung-zum-elektroniker-fuer-betriebstechnik-m-w-d
"Elektroniker/in, Betriebstechnik","Ausbildung zum Elektroniker für Betriebstechnik (m/w/d) 2026
Kaufland
Premium
01.08.2026
37308 Heilbad Heiligenstadt, DE, 37308
1.250 – 1.500 €
1250 bis 1500 €
Duale Ausbildung",Kaufland,N/A,window.d@alayer.push,026 37308,2026-02-23,https://www.azubi.de/ausbildungsplatz/10448435-p-ausbildung-zum-elektroniker-fuer-betriebstechnik-m-w-d-2026
"Elektroniker/in, Betriebstechnik","Ausbildung Elektroniker für Betriebstechnik 2026 (m/w/d)
Deutsche Post DHL
Premium
01.09.2026
Greven
1.155 – 1.355 €
1155 bis 1355 €
Neu
Duale Ausbildung",Deutsche Post DHL,N/A,annika.kleuser@dhl.com,+49 2575 9777372.,01.09.2026,https://www.azubi.de/ausbildungsplatz/11209129-p-ausbildung-elektroniker-fuer-betriebstechnik-2026-m-w-d
"Elektroniker/in, Betriebstechnik","Ausbildung zum/ zur Elektroniker/in (m/w/d) für Betriebstechnik
frischli Milchwerke GmbH
Premium
01.08.2026
84307 Eggenfelden
Duale Ausbildung",frischli Milchwerke GmbH,N/A,window.d@alayer.push,026 84307,2026-02-23,https://www.azubi.de/ausbildungsplatz/11594086-p-ausbildung-zum-zur-elektroniker-in-m-w-d-fuer-betriebstechnik
"Elektroniker/in, Betriebstechnik","Ausbildung zum Elektroniker für Betriebstechnik (m/w/d)
EEW Energy from Waste GmbH
Premium
16.08.2026
14727 Premnitz
1.000 – 1.150 €
1000 bis 1150 €
Duale Ausbildung",EEW Energy from Waste GmbH,N/A,claudia.lange@eew-energyfromwaste.com,025 14727,2026-02-24,https://www.azubi.de/ausbildungsplatz/10355851-p-ausbildung-zum-elektroniker-fuer-betriebstechnik-m-w-d
