category,job_title,company,location,email,phone,start_date,job_url
Fahrzeuglackierer/in,"Ausbildung Fahrzeuglackierer:in (m/w/d)
BASF
Premium
01.09.2026
48165 Münster
Duale Ausbildung",BASF,N/A,romy.gruendel@basf.com,+49 30 2005-56730,2026-02-21,https://www.azubi.de/ausbildungsplatz/11567998-p-ausbildung-fahrzeuglackierer-in-m-w-d
Fahrzeuglackierer/in,"Ausbildung Fahrzeuglackierer (m/w/d)
Automobilforum Kadea GmbH
01.09.2026
12359 Berlin
Neu
Duale Ausbildung",AVAG Holding SE,N/A,navig@or.language,026 13088,2026-02-26,https://www.azubi.de/ausbildungsplatz/10992008-s-ausbildung-fahrzeuglackierer-m-w-d
Fahrzeuglackierer/in,"Ausbildung Fahrzeuglackierer/In (m/w/d) bei ALSTOM in Hennigsdorf - 2026
ALSTOM Transportation Germany GmbH
01.09.2026
16761 Hennigsdorf
Duale Ausbildung",ALSTOM Transport Deutschland GmbH,N/A,navig@or.language,026 13088,2026-02-19,https://www.azubi.de/ausbildungsplatz/10311416-s-ausbildung-fahrzeuglackierer-in-m-w-d-bei-alstom-in-hennigsdorf-2026
Fahrzeuglackierer/in,"Fahrzeuglackierer (m/w/d)
Autohaus Brüggemann GmbH & Co. KG
01.08.2026
48432 Rheine-Mesum
Schnellbewerbung
Duale Ausbildung",Autohaus Brüggemann GmbH &amp; Co. KG,N/A,bewerbung@autohaus-brueggemann.de,05975/304123,2026-02-18,https://www.azubi.de/ausbildungsplatz/10084478-s-fahrzeuglackierer-m-w-d
Fahrzeuglackierer/in,"Ausbildung zum Fahrzeuglackierer (m/w/d)
RATH Bahntechnik
01.08.2026
58089 Hagen
Schnellbewerbung
Duale Ausbildung",R.A.T.H. GmbH,N/A,navig@or.language,026 58135,2026-02-18,https://www.azubi.de/ausbildungsplatz/11168621-s-ausbildung-zum-fahrzeuglackierer-m-w-d
Fahrzeuglackierer/in,"Ausbildung zum Fahrzeuglackierer (m/w/d)
BENSELER Beschichtungen Bayern GmbH & Co. KG
01.09.2026
94327 Bogen
Duale Ausbildung",BENSELER Holding GmbH &amp; Co. KG,N/A,navig@or.language,026 94327,2026-02-17,https://www.azubi.de/ausbildungsplatz/10555596-s-ausbildung-zum-fahrzeuglackierer-m-w-d
Fahrzeuglackierer/in,"Volkswagen Ausbildung zum Fahrzeuglackierer (m/w/d)
Hans Eichbichler GmbH & Co. KG
01.09.2026
84030 Landshut, Isar
Neu
Duale Ausbildung",Hans Eichbichler GmbH &amp; Co. KG,N/A,navig@or.language,026 84030,2026-02-28,https://www.azubi.de/ausbildungsplatz/11642343-b-volkswagen-ausbildung-zum-fahrzeuglackierer-m-w-d
Fahrzeuglackierer/in,"Ausbildung Fahrzeuglackierer (m/w/d) 2026
Karosserie-Lackierfachbetrieb Lambla GmbH & Co. KG
01.09.2026
89129 Langenau, Württemberg
Neu
Duale Ausbildung",Karosserie-Lackierfachbetrieb Lambla GmbH &amp; Co. KG,N/A,navig@or.language,026 89537,2026-02-27,https://www.azubi.de/ausbildungsplatz/11638732-b-ausbildung-fahrzeuglackierer-m-w-d-2026
Fahrzeuglackierer/in,"Ausbildung 2026 Fahrzeuglackierer/in (m/w/d)
Karosserie-u.Lackierzentrum Ch. Obeck GmbH
01.08.2026
29525 Uelzen, Lüneburger Heide
Duale Ausbildung",Karosserie-u.Lackierzentrum Ch. Obeck GmbH,N/A,navig@or.language,026 29525,2026-02-25,https://www.azubi.de/ausbildungsplatz/11632500-b-ausbildung-2026-fahrzeuglackierer-in-m-w-d
Fahrzeuglackierer/in,"Ausbildung als Lackierer/-in (w/m/d)
M.C.F. Motor Company Fahrzeugvertriebs-GmbH
01.09.2026
13088 Berlin, Berlin
Duale Ausbildung",M.C.F. Motor Company Fahrzeugvertriebs-GmbH,N/A,navig@or.language,026 12359,2026-02-21,https://www.azubi.de/ausbildungsplatz/11619244-b-ausbildung-als-lackierer-in-w-m-d
Fahrzeuglackierer/in,"Ausbildung zum Fahrzeuglackierer/in (m/w/d
KSK Industrielackierungen GmbH & Co. KG
01.08.2026
52511 Geilenkirchen
Duale Ausbildung",KSK Industrielackierungen GmbH &amp; Co. KG,N/A,navig@or.language,026 52525,2026-02-21,https://www.azubi.de/ausbildungsplatz/11619257-b-ausbildung-zum-fahrzeuglackierer-in-m-w-d
Fahrzeuglackierer/in,"Fahrzeuglackierer/in
Jacobs Automobile GmbH
01.08.2026
52525 Heinsberg, Rheinland
Duale Ausbildung",Jacobs Automobile GmbH,N/A,navig@or.language,026 52511,2026-02-20,https://www.azubi.de/ausbildungsplatz/11616811-b-fahrzeuglackierer-in
Fahrzeuglackierer/in,"KFZ-Lackierer (m/w/d) Ausbildung 2026
Antonio Scinardo & Filippo Scinardo GbR Auto Service
01.08.2026
64832 Babenhausen, Hessen
Duale Ausbildung",Antonio Scinardo &amp; Filippo Scinardo GbR Auto Service,N/A,navig@or.language,026 63538,2026-02-11,https://www.azubi.de/ausbildungsplatz/11548610-b-kfz-lackierer-m-w-d-ausbildung-2026
Fahrzeuglackierer/in,"Top Ausbildungsstelle für Kreative Köpfe zu vergeben!
Lackiererei Elisabeth Schlegel Karosserie & Lackiercenter
01.09.2026
97892 Kreuzwertheim
Duale Ausbildung",Lackiererei Elisabeth Schlegel Karosserie &amp; Lackiercenter,N/A,navig@or.language,025 97209,2026-02-08,https://www.azubi.de/ausbildungsplatz/11505545-b-top-ausbildungsstelle-fuer-kreative-koepfe-zu-vergeben
Fahrzeuglackierer/in,"Fahrzeuglackierer/in
Dautel GmbH
01.09.2026
74211 Leingarten
Duale Ausbildung",Dautel GmbH,N/A,navig@or.language,026 74391,2026-02-06,https://www.azubi.de/ausbildungsplatz/11475372-b-fahrzeuglackierer-in
Fahrzeuglackierer/in,"Ausbildung 2027 -- Praktikum möglich
Auto Schmidt Thomas Schmidt
01.09.2027
92676 Speinshart
Duale Ausbildung",Auto Schmidt Thomas Schmidt,N/A,navig@or.language,026 92676,2026-02-04,https://www.azubi.de/ausbildungsplatz/11449745-b-ausbildung-2027-praktikum-moeglich
Fahrzeuglackierer/in,"Ausbildung Fahrzeuglackierer (m/w/d)
Lack Plus GmbH Autolackiererei
01.08.2026
31832 Springe, Deister
Duale Ausbildung",Lack Plus GmbH Autolackiererei,N/A,y.farhat@lackplus.de,05041-7790425,2026-02-01,https://www.azubi.de/ausbildungsplatz/11416994-b-ausbildung-fahrzeuglackierer-m-w-d
Fahrzeuglackierer/in,"Fahrzeuglackierer (m/w/d) - Ausbildung 2026
Andreas Vonthron
01.08.2026
58135 Hagen, Westfalen
Duale Ausbildung",Andreas Vonthron,N/A,navig@or.language,026 58089,2026-01-29,https://www.azubi.de/ausbildungsplatz/11398471-b-fahrzeuglackierer-m-w-d-ausbildung-2026
Fahrzeuglackierer/in,"Ausbildung 2026 zum Fahrzeuglackierer (m/w/d) - Praktikum möglich!
W. Haupt GmbH
01.08.2026
52353 Düren, Rheinland
Duale Ausbildung",W. Haupt GmbH,N/A,navig@or.language,026 52222,2026-01-24,https://www.azubi.de/ausbildungsplatz/11368062-b-ausbildung-2026-zum-fahrzeuglackierer-m-w-d-praktikum-moeglich
Fahrzeuglackierer/in,"Fahrzeuglackierer/in
H. Laimer GmbH Kfz. Meisterbetrieb
19.02.2026
36154 Hosenfeld
Duale Ausbildung",H. Laimer GmbH Kfz. Meisterbetrieb,N/A,navig@or.language,026 36154,2026-01-23,https://www.azubi.de/ausbildungsplatz/11363625-b-fahrzeuglackierer-in
Fahrzeuglackierer/in,"Ausbildung Fahrzeuglackierer (m/w/d) 2026 - Standort Upahl
STERNAUTO GmbH
01.09.2026
23936 Upahl
Duale Ausbildung",STERNAUTO GmbH,N/A,navig@or.language,026 19061,2026-01-22,https://www.azubi.de/ausbildungsplatz/11349667-b-ausbildung-fahrzeuglackierer-m-w-d-2026-standort-upahl
Fahrzeuglackierer/in,"Mach Dein Leben bunter!
Lackpräsenz Stefan Reich
24.08.2026
03052 Cottbus
Duale Ausbildung",Lackpräsenz Stefan Reich,N/A,navig@or.language,026 03052,2026-01-18,https://www.azubi.de/ausbildungsplatz/11331969-b-mach-dein-leben-bunter
Fahrzeuglackierer/in,"Ausbildung 2026
Küskün & Küskün GbR
01.08.2026
63538 Großkrotzenburg
Duale Ausbildung",Küskün &amp; Küskün GbR,N/A,info@mtk-kfz.de,+49 (0) 6186 90 04 30,2026-01-17,https://www.azubi.de/ausbildungsplatz/11319142-b-ausbildung-2026
Fahrzeuglackierer/in,"Ausbildung mit Perspektive in einem Autohaus mit Zukunft!
Hugo Pfohe GmbH
01.08.2026
22335 Hamburg
Duale Ausbildung",Hugo Pfohe GmbH,N/A,navig@or.language,026 22844,2026-01-14,https://www.azubi.de/ausbildungsplatz/11286102-b-ausbildung-mit-perspektive-in-einem-autohaus-mit-zukunft
Fahrzeuglackierer/in,"AUSBILDUNG 2026/Praktikum möglich
Lack-Meister-Grenner Johannes Grenner
01.08.2026
52222 Stolberg (Rheinland)
Duale Ausbildung",Lack-Meister-Grenner Johannes Grenner,N/A,navig@or.language,026 52078,2026-01-11,https://www.azubi.de/ausbildungsplatz/11275208-b-ausbildung-2026-praktikum-moeglich
Fahrzeuglackierer/in,"Ausbildung 2026 als Fahrzeuglackierer/in (m/w/d)
Mark Tröning
01.08.2026
31246 Ilsede
Duale Ausbildung",Mark Tröning,N/A,lkt-ilsede@web.de,026 31246,2026-01-11,https://www.azubi.de/ausbildungsplatz/11275300-b-ausbildung-2026-als-fahrzeuglackierer-in-m-w-d
Fahrzeuglackierer/in,"Fahrzeuglackierer (m/w/d) 2026
Prinz Technik Industrie- und Fahrzeuglackierung GmbH
01.09.2026
19061 Schwerin, Mecklenburg
Duale Ausbildung",Prinz Technik Industrie- und Fahrzeuglackierung GmbH,N/A,navig@or.language,026 23936,2026-01-10,https://www.azubi.de/ausbildungsplatz/11267735-b-fahrzeuglackierer-m-w-d-2026
Fahrzeuglackierer/in,"Ausbildung Fahrzeuglackierer (m/w/d) 2026
Autohaus Kummich GmbH Bopfingen
01.09.2026
74545 Michelfeld, Kreis Schwäbisch Hall
Duale Ausbildung",Autohaus Kummich GmbH Bopfingen,N/A,navig@or.language,026 73642,2026-01-01,https://www.azubi.de/ausbildungsplatz/11209934-b-ausbildung-fahrzeuglackierer-m-w-d-2026
Fahrzeuglackierer/in,"***AUSBILDUNG 2026*** Fahrzeuglackierer (m/w/d)
MV Lack & Karosserie GmbH
01.09.2026
18209 Bad Doberan
Duale Ausbildung",MV Lack &amp; Karosserie GmbH,N/A,j.toeller@mv-lack.de,026 18209,2025-12-25,https://www.azubi.de/ausbildungsplatz/11177484-b-ausbildung-2026-fahrzeuglackierer-m-w-d
Fahrzeuglackierer/in,"Ausbildung zum Fahrzeuglackierer (m/w/d) 2026, Lingen
Autohaus Timmer GmbH
01.08.2026
49808 Lingen (Ems)
Duale Ausbildung",Autohaus Timmer GmbH,N/A,j.wigger@timmer.gmbh,0591/321795-86,2025-12-19,https://www.azubi.de/ausbildungsplatz/11134356-b-ausbildung-zum-fahrzeuglackierer-m-w-d-2026-lingen
Fahrzeuglackierer/in,"Ausbildung zum Fahrzeuglackierer (m/w/d) ab 01.09.2026
Reinhard Distler Lackiererei
01.09.2026
91161 Hilpoltstein, Mittelfranken
Duale Ausbildung",Reinhard Distler Lackiererei,N/A,info@distler-lackierbetrieb.de,09179/6087,2025-12-18,https://www.azubi.de/ausbildungsplatz/11125189-b-ausbildung-zum-fahrzeuglackierer-m-w-d-ab-01-09-2026
Fahrzeuglackierer/in,"AZUBI FAHRZEUGLACKIERER (m/w/d) für 2027
Scholz Karosseriebau GmbH & Co. KG
01.09.2027
97475 Zeil am Main
Duale Ausbildung",Scholz Karosseriebau GmbH &amp; Co. KG,N/A,katja.scholz@karosseriebau-scholz.de,09524 1603,2025-12-17,https://www.azubi.de/ausbildungsplatz/11117393-b-azubi-fahrzeuglackierer-m-w-d-fuer-2027
Fahrzeuglackierer/in,"Ausbildung 2026 - Praktikum möglich
Lackierbetrieb Farbenspiel GmbH
01.09.2026
87656 Germaringen
Duale Ausbildung",Lackierbetrieb Farbenspiel GmbH,N/A,farbenspiel@schragl.de,026 87600,2025-12-14,https://www.azubi.de/ausbildungsplatz/11101050-b-ausbildung-2026-praktikum-moeglich
Fahrzeuglackierer/in,"Fahrzeuglackierer/in
Walter Wohlfart GbR
01.08.2026
68519 Viernheim
Duale Ausbildung",Walter Wohlfart GbR,N/A,navig@or.language,026 68519,2025-12-14,https://www.azubi.de/ausbildungsplatz/11100966-b-fahrzeuglackierer-in
Fahrzeuglackierer/in,"Ausbildung 2026: Fahrzeuglackierer (m/w/d)
Reiner Abraham Karosseriebau
01.09.2026
73642 Welzheim
Duale Ausbildung",Reiner Abraham Karosseriebau,N/A,navig@or.language,026 74545,2025-12-11,https://www.azubi.de/ausbildungsplatz/11060443-b-ausbildung-2026-fahrzeuglackierer-m-w-d
