category,job_title,company,location,email,phone,start_date,job_url
Fleischer/in,"Ausbildung zum Fleischer (m/w/d) 2026
Kaufland
Premium
01.08.2026
74219 Möckmühl, DE, 74219
1.250 – 1.500 €
1250 bis 1500 €
Duale Ausbildung",Kaufland,N/A,navig@or.userlanguage,026 74078,2026-02-23,https://www.azubi.de/ausbildungsplatz/10450723-p-ausbildung-zum-fleischer-m-w-d-2026
Fleischer/in,"Ausbildung Fleischer/in (m/w/d)
akzenta GmbH & Co. KG
Premium
01.08.2026
42283 Wuppertal
1.100 – 1.360 €
1100 bis 1360 €
Duale Ausbildung",akzenta GmbH &amp; Co. KG,N/A,navig@or.userlanguage,0124631,2026-02-22,https://www.azubi.de/ausbildungsplatz/10648746-p-ausbildung-fleischer-in-m-w-d
Fleischer/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) EDEKA Woolard 12621 Berlin, Kaulsdorfer Straße - 2026
EDEKA Woolard
01.09.2026
12621 Berlin
Neu
Duale Ausbildung",EDEKA ZENTRALE Stiftung &amp; Co. KG,N/A,navig@or.userlanguage,026 10717,2026-02-27,https://www.azubi.de/ausbildungsplatz/10808807-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-edeka-woolard-12621-berlin-kaulsdorfer-strasse-2026
Fleischer/in,"Ausbildung zum Fleischer (m/w/d)
REWE Markt GmbH
01.09.2026
23738 Lensahn
Neu
Duale Ausbildung
Vollzeit/Teilzeit",REWE Markt GmbH,N/A,navig@or.userlanguage,0922084,2026-02-27,https://www.azubi.de/ausbildungsplatz/10829296-s-ausbildung-zum-fleischer-m-w-d
Fleischer/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
Marktkauf 7418 Papenburg
01.08.2026
26871 Papenburg
Neu
Duale Ausbildung",Marktkauf 7418 Papenburg,N/A,navig@or.userlanguage,026 26871,01.08.2026,https://www.azubi.de/ausbildungsplatz/10825397-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fleischer/in,"Auszubildender (m/w/d) als Fleischer Hilden 2026
Transgourmet Deutschland GmbH & Co.OHG
01.08.2026
40724 Hilden
Neu
Duale Ausbildung",Transgourmet Deutschland GmbH &amp; Co. OHG,N/A,martin.ohm@selgros.de,026 42283,2026-02-27,https://www.azubi.de/ausbildungsplatz/10436309-s-auszubildender-m-w-d-als-fleischer-hilden-2026
Fleischer/in,"Ausbildung Fachverkäufer Fleischerei (m/w/d) - 2026
E center Weil der Stadt
01.09.2026
71263 Weil der Stadt
Neu
Duale Ausbildung",EDEKA ZENTRALE Stiftung &amp; Co. KG,N/A,bewerbung@edeka-suedwest.de,026 71120,2026-02-27,https://www.azubi.de/ausbildungsplatz/10913424-s-ausbildung-fachverkaeufer-fleischerei-m-w-d-2026
Fleischer/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
Marktkauf 7302 Wilhelmshaven
01.08.2026
26388 Wilhelmshaven
Neu
Duale Ausbildung",Marktkauf 7302 Wilhelmshaven,N/A,navig@or.userlanguage,026 26384,01.09.2026,https://www.azubi.de/ausbildungsplatz/10610404-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fleischer/in,"Ausbildung Fleischerin - Fachrichtung Verkauf (m/w/d) - 2026
Marktkauf 7205 Löhne
01.08.2026
32584 Löhne
Neu
Duale Ausbildung",Marktkauf 7205 Löhne,N/A,navig@or.userlanguage,026 32584,01.08.2026,https://www.azubi.de/ausbildungsplatz/10528055-s-ausbildung-fleischerin-fachrichtung-verkauf-m-w-d-2026
Fleischer/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
EDEKA Heidrun Wucherpfennig
01.08.2026
39112 Magdeburg
Neu
Duale Ausbildung",EDEKA Heidrun Wucherpfennig,N/A,navig@or.userlanguage,026 39104,01.08.2026,https://www.azubi.de/ausbildungsplatz/10436369-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fleischer/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
E center Frauendorf
01.08.2026
38820 Halberstadt
Neu
Duale Ausbildung",E center Frauendorf,N/A,navig@or.userlanguage,026 38889,01.08.2026,https://www.azubi.de/ausbildungsplatz/10436363-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fleischer/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
EDEKA Scheuner
01.08.2026
10369 Berlin
Neu
Duale Ausbildung",EDEKA Scheuner,N/A,navig@or.userlanguage,026 10717,01.09.2026,https://www.azubi.de/ausbildungsplatz/10808840-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fleischer/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) - 2026
Marktkauf 7313 Wunstorf
01.08.2026
31515 Wunstorf
Neu
Duale Ausbildung",Marktkauf 7313 Wunstorf,N/A,navig@or.userlanguage,026 31515,01.08.2026,https://www.azubi.de/ausbildungsplatz/10610378-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-2026
Fleischer/in,"Ausbildung Fleischerin - Fachrichtung Verkauf (m/w/d) - 2026
Marktkauf 7204 Bad Salzuflen
01.08.2026
32105 Bad Salzuflen
Neu
Duale Ausbildung",Marktkauf 7204 Bad Salzuflen,N/A,navig@or.userlanguage,026 32105,01.08.2026,https://www.azubi.de/ausbildungsplatz/10528083-s-ausbildung-fleischerin-fachrichtung-verkauf-m-w-d-2026
Fleischer/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Fleischerei (m/w/d) EDEKA Center Schoe - 2026
Selbstständiger Einzelhandel
01.08.2026
38302 Wolfenbüttel
Neu
Duale Ausbildung",Selbstständiger Einzelhandel,N/A,navig@or.userlanguage,026 38304,01.08.2026,https://www.azubi.de/ausbildungsplatz/10436391-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-fleischerei-m-w-d-edeka-center-schoe-2026
