category,job_title,company,location,email,phone,start_date,job_url
Gärtner/in,"Ausbildungsplatz Gärtner:in im Garten- und Landschaftsbau
Bezirksamt Bergedorf
Premium
01.08.2026
20457 Hamburg
1.236 – 1.340 €
1236 bis 1340 €
Neu
Duale Ausbildung
2 freie Stellen",Bezirksamt Bergedorf,N/A,loc@ion.href,+49 40 428 91-2580,2026-02-27,https://www.azubi.de/ausbildungsplatz/11564002-p-ausbildungsplatz-gaertner-in-im-garten-und-landschaftsbau
Gärtner/in,"Ausbildung Gärtner (w/m/d) Schwerpunkt Beraten und Verkaufen
HELLWEG Die Profi-Bau- & Gartenmärkte GmbH & Co. KG
Premium
01.08.2026
44809 Bochum
Duale Ausbildung",HELLWEG Die Profi-Bau- &amp; Gartenmärkte GmbH &amp; Co. KG,N/A,loc@ion.href,0231 - 9696 439,2026-02-25,https://www.azubi.de/ausbildungsplatz/10468061-p-ausbildung-gaertner-w-m-d-schwerpunkt-beraten-und-verkaufen
Gärtner/in,"Ausbildung zum Gärtner (m/w/d) Fachrichtung Garten- und Landschaftsbau
St. Augustinus Gruppe
Premium
01.08.2026
41564 Kaarst
1.140 – 1.390 €
1140 bis 1390 €
Duale Ausbildung
3 freie Stellen",St. Augustinus Gruppe,N/A,stefan.muhr@schnitt-gut.de,02131 751 99100,2026-02-25,https://www.azubi.de/ausbildungsplatz/11347068-p-ausbildung-zum-gaertner-m-w-d-fachrichtung-garten-und-landschaftsbau
Gärtner/in,"Landschaftsgärtner / Gärtner (m/w/d)
Hachmann GmbH & Co. KG Garten- und Landschaftsbau
01.08.2026
49179 Ostercappeln
Neu
Duale Ausbildung","Bundesverband Garten-, Landschafts- und Sportplatzbau e. V.",N/A,loc@ion.href,026 49086,2026-02-27,https://www.azubi.de/ausbildungsplatz/10528126-s-landschaftsgaertner-gaertner-m-w-d
Gärtner/in,"Gärtner*in (m/w/d) - Baumschule
Landeshauptstadt München
01.09.2026
81671 München
Neu
Duale Ausbildung
4 freie Stellen",Landeshauptstadt München,N/A,ausbildung.gartenbau@muenchen.de,089 233-60414,2026-02-27,https://www.azubi.de/ausbildungsplatz/10913449-s-gaertner-in-m-w-d-baumschule
Gärtner/in,"Ausbildung zum Gärtner (m/w/d)
Technisches Betriebszentrum AöR
01.08.2026
24941 Flensburg
Neu
Duale Ausbildung",Technisches Betriebszentrum AöR,N/A,loc@ion.href,026 24941,2026-02-27,https://www.azubi.de/ausbildungsplatz/11409543-s-ausbildung-zum-gaertner-m-w-d
Gärtner/in,"Gärtner/in, Fachrichtung Friedhofswesen (m/w/d)
Stadt Hanau K.d.ö.R.
01.08.2026
63450 Hanau
Neu
Duale Ausbildung",Stadt Hanau K.d.ö.R.,N/A,loc@ion.href,06181-2950 6036,2026-02-27,https://www.azubi.de/ausbildungsplatz/11639469-s-gaertner-in-fachrichtung-friedhofswesen-m-w-d
Gärtner/in,"Landschaftsgärtner / Gärtner (m/w/d)
Theilen Gartenbau GmbH & Co. KG
01.08.2026
26160 Bad Zwischenahn
Neu
Duale Ausbildung",Theilen Gartenbau GmbH & Co. KG,N/A,loc@ion.href,026 26129,01.08.2026,https://www.azubi.de/ausbildungsplatz/9996835-s-landschaftsgaertner-gaertner-m-w-d
Gärtner/in,"Ausbildung Gärtner im Landschaftsbau 2026 - Bochum (m/w/d)
Vonovia SE
01.08.2026
44803 Bochum
Neu
Duale Ausbildung
2 freie Stellen",Vonovia SE,N/A,loc@ion.href,+49 162 2185878,2026-02-26,https://www.azubi.de/ausbildungsplatz/11554561-s-ausbildung-gaertner-im-landschaftsbau-2026-bochum-m-w-d
Gärtner/in,"Landschaftsgärtner / Gärtner (m/w/d)
Höfert GmbH Garten-, Landschafts-, Sportplatzbau
01.08.2026
15345 Eggersdorf
Neu
Duale Ausbildung","Bundesverband Garten-, Landschafts- und Sportplatzbau e. V.",N/A,info@galabau-hoefert.de,026 15566,2026-02-26,https://www.azubi.de/ausbildungsplatz/11125360-s-landschaftsgaertner-gaertner-m-w-d
Gärtner/in,"Ausbildung zum Gärtner (m/w/d) mit der Fachrichtung Garten- und Landschaftsbau
Stadt.Land.Grün GmbH
01.08.2026
26919 Brake
Duale Ausbildung",Stadt.Land.Grün GmbH,N/A,loc@ion.href,026 26919,01.07.2026,https://www.azubi.de/ausbildungsplatz/11392091-s-ausbildung-zum-gaertner-m-w-d-mit-der-fachrichtung-garten-und-landschaftsbau
Gärtner/in,"Landschaftsgärtner / Gärtner (m/w/d)
Hullmann Garten- und Landschaftsbau GmbH
01.08.2026
45899 Gelsenkirchen
Duale Ausbildung",Hullmann Garten- und Landschaftsbau GmbH,N/A,info@hullmann-gartenbau.de,+49 209 957 05 34,01.08.2026,https://www.azubi.de/ausbildungsplatz/10822630-s-landschaftsgaertner-gaertner-m-w-d
Gärtner/in,"Landschaftsgärtner / Gärtner (m/w/d)
Klaus Kramer Garten- und Landschaftsbau GmbH & Co. KG
01.08.2026
49434 Neuenkirchen-Vörden
Duale Ausbildung","Bundesverband Garten-, Landschafts- und Sportplatzbau e. V.",N/A,info@galabau-kramer.de,05493-549988-0,2026-02-25,https://www.azubi.de/ausbildungsplatz/11548757-s-landschaftsgaertner-gaertner-m-w-d
Gärtner/in,"Auszubildende zur Gärtnerin, Fachrichtung Garten- und Landschaftsbau (m/w/d) in Konstanz 2026
Stadt Konstanz - Technische Betriebe Konstanz
01.09.2026
78467 Konstanz
Duale Ausbildung",Stadt Konstanz,N/A,loc@ion.href,07531 997-272,2026-02-24,https://www.azubi.de/ausbildungsplatz/10787178-s-auszubildende-zur-gaertnerin-fachrichtung-garten-und-landschaftsbau-m-w-d-in-konstanz-2026
