category,job_title,company,location,email,phone,start_date,job_url
Kaufmann/frau Versicherung und Finanzen,"Kaufmann/-frau für Versicherung und Finanzanlagen in einer VGH-Agentur 2026 (m/w/d)
VGH Versicherungen
Premium
01.08.2026
29693 Hodenhagen
1.355 – 1.620 €
1355 bis 1620 €
Duale Ausbildung",VGH Versicherungen,N/A,navig@or.userlanguage,0511-3623541,2026-02-26,https://www.azubi.de/ausbildungsplatz/10526383-p-kaufmann-frau-fuer-versicherung-und-finanzanlagen-in-einer-vgh-agentur-2026-m-w-d
Kaufmann/frau Versicherung und Finanzen,"Kaufmann für Versicherungen und Finanzanlagen - Vertrieb (m/w/d)
SIGNAL IDUNA
Premium
01.08.2026
Erfurt
1.355 – 1.520 €
1355 bis 1520 €
Duale Ausbildung",SIGNAL IDUNA,N/A,navig@or.userlanguage,026 99096,2026-02-23,https://www.azubi.de/ausbildungsplatz/10453729-p-kaufmann-fuer-versicherungen-und-finanzanlagen-vertrieb-m-w-d
Kaufmann/frau Versicherung und Finanzen,"Ausbildung für Kaufleute für Versicherungen und Finanzanlagen mit Schwerpunkt Industrieversicherung
HDI Group
Premium
01.09.2026
44141 Dortmund
1.455 – 1.620 €
1455 bis 1620 €
Neu
Duale Ausbildung
Homeoffice möglich",HDI Group,N/A,navig@or.userlanguage,026 44139,2026-02-27,https://www.azubi.de/ausbildungsplatz/10808941-p-ausbildung-fuer-kaufleute-fuer-versicherungen-und-finanzanlagen-mit-schwerpunkt-industrieversicherung
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum Kaufmann im Gesundheitswesen - Versicherungsexperte (m/w/d)
Techniker Krankenkasse
Premium
01.08.2026
Frankfurt
1.450 – 1.700 €
1450 bis 1700 €
Neu
Duale Ausbildung
Homeoffice möglich",Techniker Krankenkasse,N/A,navig@or.userlanguage,026 60318,2026-02-27,https://www.azubi.de/ausbildungsplatz/10576500-p-ausbildung-zum-kaufmann-im-gesundheitswesen-versicherungsexperte-m-w-d
Kaufmann/frau Versicherung und Finanzen,"Auszubildende zum Kaufmann für Versicherungen und Finanzanlagen (m/w/d)
Funk Versicherungsmakler GmbH
Premium
01.08.2026
Berlin
1.355 – 1.520 €
1355 bis 1520 €
Duale Ausbildung",Funk Versicherungsmakler GmbH,N/A,navig@or.userlanguage,+49 40 35914 650,2026-02-25,https://www.azubi.de/ausbildungsplatz/10699139-p-auszubildende-zum-kaufmann-fuer-versicherungen-und-finanzanlagen-m-w-d
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum Kaufmann für Versicherungen und Finanzanlagen (m/w/d) in Sassenberg
LVM Versicherung
01.08.2026
48336 Sassenberg
Neu
Duale Ausbildung",LVM Versicherung,N/A,navig@or.userlanguage,0171-2805297,2026-02-27,https://www.azubi.de/ausbildungsplatz/10224628-s-ausbildung-zum-kaufmann-fuer-versicherungen-und-finanzanlagen-m-w-d-in-sassenberg
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum Kaufmann für Versicherungen und Finanzanlagen (w/m/d) im Vertrieb
Geschäftsstelle Schahn & Schahn
01.08.2026
55774 Baumholder
Neu
Duale Ausbildung",Provinzial Holding AG Vertrieb,N/A,provinzialkarriere@provinzial.de,09027715,2026-02-27,https://www.azubi.de/ausbildungsplatz/11409494-s-ausbildung-zum-kaufmann-fuer-versicherungen-und-finanzanlagen-w-m-d-im-vertrieb
Kaufmann/frau Versicherung und Finanzen,"Ausbildung Kaufmann für Versicherungen und Finanzanlagen Außendienst 2026 (m/w/d) Halle (Saale)
AXA Konzern AG
01.08.2026
06124 Halle
Neu
Duale Ausbildung",AXA Konzern AG,N/A,simone.klug@axa.de,069 98248 37149,2026-02-27,https://www.azubi.de/ausbildungsplatz/10527924-s-ausbildung-kaufmann-fuer-versicherungen-und-finanzanlagen-aussendienst-2026-m-w-d-halle-saale
Kaufmann/frau Versicherung und Finanzen,"Hermannsburg - Ausbildung Kaufleute (m/w/d) für Versicherungen und Finanzanlagen Agentur Heesch
ERGO Group AG
01.08.2026
29320 Hermannsburg
Neu
Duale Ausbildung",ERGO Group AG,N/A,axel.eckhoff@ergo.de,04131 7486-26,2026-02-27,https://www.azubi.de/ausbildungsplatz/10224610-s-hermannsburg-ausbildung-kaufleute-m-w-d-fuer-versicherungen-und-finanzanlagen-agentur-heesch
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum Kaufmann für Versicherungen und Finanzanlagen (w/m/d) im Vertrieb
Geschäftsstelle Friedenburg & Kollegen
01.08.2026
53639 Königswinter
Neu
Duale Ausbildung",Provinzial Holding AG Vertrieb,N/A,navig@or.userlanguage,02222 80488-33,2026-02-27,https://www.azubi.de/ausbildungsplatz/11305130-s-ausbildung-zum-kaufmann-fuer-versicherungen-und-finanzanlagen-w-m-d-im-vertrieb
Kaufmann/frau Versicherung und Finanzen,"Ausbildung Kaufmann Versicherungen und Finanzanlagen Außendienst 2026 (m/w/d) Mecklenburg-Vorpommern
AXA Konzern AG
01.08.2026
22043 Mecklenburg-Vorpommern
Neu
Duale Ausbildung",AXA Konzern AG,N/A,navig@or.userlanguage,+49 221 148-28510,2026-02-27,https://www.azubi.de/ausbildungsplatz/11409491-s-ausbildung-kaufmann-versicherungen-und-finanzanlagen-aussendienst-2026-m-w-d-mecklenburg-vorpommern
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum Kaufmann (m/w/d) für Versicherungen und Finanzanlagen in der Agentur Mohr & Hüllmann
Continentale Versicherungsverbund - Mohr & Hüllmann GmbH & Co. KG
01.09.2026
25336 Elmshorn
Neu
Duale Ausbildung",Continentale Versicherungsverbund,N/A,navig@or.userlanguage,026 21682,2026-02-27,https://www.azubi.de/ausbildungsplatz/10808683-s-ausbildung-zum-kaufmann-m-w-d-fuer-versicherungen-und-finanzanlagen-in-der-agentur-mohr-huellmann
Kaufmann/frau Versicherung und Finanzen,"Ausbildung Kaufmann/-frau für Versicherungen und Finanzanlagen
IDEAL Lebensversicherung a.G.
01.08.2026
10969 Berlin
Neu
Schnellbewerbung
Duale Ausbildung
2 freie Stellen",IDEAL Lebensversicherung a.G.,N/A,navig@or.userlanguage,026 14052,2026-02-27,https://www.azubi.de/ausbildungsplatz/10357596-s-ausbildung-kaufmann-frau-fuer-versicherungen-und-finanzanlagen
Kaufmann/frau Versicherung und Finanzen,"Ausbildung Kaufmann (m/w/d) - Versicherungen und Finanzanlagen Heilbronn & Hamburg 2026
Dr. Friedrich E. Hörtkorn GmbH
01.09.2026
20097 Hamburg, Heilbronn
Neu
Schnellbewerbung
Duale Ausbildung
3 freie Stellen",Dr. Friedrich E. Hörtkorn GmbH,N/A,bewerbung@dr-hoertkorn.de,07131/949-160,2026-02-27,https://www.azubi.de/ausbildungsplatz/10527964-s-ausbildung-kaufmann-m-w-d-versicherungen-und-finanzanlagen-heilbronn-hamburg-2026
Kaufmann/frau Versicherung und Finanzen,"Ausbildung als Kaufmann für Versicherungen und Finanzanlagen (all genders) 2026
Provinzial Holding AG
03.08.2026
24114 Kiel
Neu
Duale Ausbildung",Provinzial Holding AG,N/A,navig@or.userlanguage,026 24109,2026-02-27,https://www.azubi.de/ausbildungsplatz/10057549-s-ausbildung-als-kaufmann-fuer-versicherungen-und-finanzanlagen-all-genders-2026
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum Kaufmann*zur Kauffrau für Versicherungen und Finanzanlagen - Vertriebsinnendienst
Gothaer Bezirksdirektion rmb3
01.08.2026
42115 Wuppertal
Neu
Duale Ausbildung",Gothaer Konzern,N/A,michael.reissbach@gothaer.de,0202 5270-120,2026-02-27,https://www.azubi.de/ausbildungsplatz/10808703-s-ausbildung-zum-kaufmann-zur-kauffrau-fuer-versicherungen-und-finanzanlagen-vertriebsinnendienst
Kaufmann/frau Versicherung und Finanzen,"Ausbildung Kaufmann Versicherungen & Finanzanlagen Außendienst 2026 (m/w/d) (Gronau, Ahaus, Borken)
AXA Konzern AG
17.08.2026
48143 Münster
Duale Ausbildung",AXA Konzern AG,N/A,ute.schmidt@axa.de,0221-148 38464,2026-02-26,https://www.azubi.de/ausbildungsplatz/10700641-s-ausbildung-kaufmann-versicherungen-finanzanlagen-aussendienst-2026-m-w-d-gronau-ahaus-borken
Kaufmann/frau Versicherung und Finanzen,"Kaufmann/-frau für Versicherungen und Finanzanlagen (m/w/d)
Landessparkasse zu Oldenburg (LzO)
01.08.2026
26123 Oldenburg+ 5 weitere
Duale Ausbildung
6 freie Stellen",Landessparkasse zu Oldenburg A.d.ö.R.,N/A,navig@or.userlanguage,026 28790,2026-02-26,https://www.azubi.de/ausbildungsplatz/9877413-s-kaufmann-frau-fuer-versicherungen-und-finanzanlagen-m-w-d
Kaufmann/frau Versicherung und Finanzen,"Kaufmann (m/w/d) für Versicherungen und Finanzanlagen im Innendienst - Hamburg
Wüstenrot & Württembergische-Gruppe
01.08.2026
20097 Hamburg
Duale Ausbildung
2 freie Stellen",Wüstenrot &amp; Württembergische AG,N/A,jaqueline.baumann@ww-ag.com,efon: 07141 16-753834,2026-02-26,https://www.azubi.de/ausbildungsplatz/10603304-s-kaufmann-m-w-d-fuer-versicherungen-und-finanzanlagen-im-innendienst-hamburg
Kaufmann/frau Versicherung und Finanzen,"Kaufmann (m/w/d) für Versicherungen und Finanzanlagen im Innendienst - Hannover
Wüstenrot & Württembergische-Gruppe
01.08.2026
30159 Hannover
Duale Ausbildung
2 freie Stellen",Wüstenrot &amp; Württembergische AG,N/A,jaqueline.baumann@ww.ag.com,026 30159,2026-02-26,https://www.azubi.de/ausbildungsplatz/10603307-s-kaufmann-m-w-d-fuer-versicherungen-und-finanzanlagen-im-innendienst-hannover
Kaufmann/frau Versicherung und Finanzen,"Kaufmann/-frau für Versicherungen und Finanzanlagen
Deutsche Gesellschaft für Versicherungsoptimierung mbH & Co. KG
01.08.2026
41061 Mönchengladbach
Schnellbewerbung
Duale Ausbildung",Deutsche Gesellschaft für Versicherungsoptimierung mbH &amp; Co. KG,N/A,bewerbung@dgvo.de,02161-53951-15,2026-02-26,https://www.azubi.de/ausbildungsplatz/9859055-s-kaufmann-frau-fuer-versicherungen-und-finanzanlagen
Kaufmann/frau Versicherung und Finanzen,"Ausbildung Kaufmann für Versicherungen und Finanzanlagen Innendienst 2026 Köln - Krankenversicherung
AXA Konzern AG
01.09.2026
51067 Köln
Duale Ausbildung
Homeoffice möglich",AXA Konzern AG,N/A,ausbildung@axa.de,026 50321,2026-02-26,https://www.azubi.de/ausbildungsplatz/11125275-s-ausbildung-kaufmann-fuer-versicherungen-und-finanzanlagen-innendienst-2026-koeln-krankenversicherung
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum/zur Kaufmann/Kauffrau für Versicherungen und Finanzanlagen in Coesfeld
DEVK Deutsche Eisenbahn Versicherung
01.08.2026
48653 Coesfeld
Duale Ausbildung",DEVK Deutsche Eisenbahn Versicherung,N/A,jennifer.peters@devk.de,efon: 0251 / 5903 273,2026-02-26,https://www.azubi.de/ausbildungsplatz/10700700-s-ausbildung-zum-zur-kaufmann-kauffrau-fuer-versicherungen-und-finanzanlagen-in-coesfeld
Kaufmann/frau Versicherung und Finanzen,"Ausbildung Kaufmann (m/w/d) für Versicherungen und Finanzanlagen in Röthenbach
DEVK Deutsche Eisenbahn Versicherung
01.09.2026
90552 Röthenbach
Duale Ausbildung",DEVK Deutsche Eisenbahn Versicherung,N/A,navig@or.userlanguage,026 90443,2026-02-26,https://www.azubi.de/ausbildungsplatz/11554543-s-ausbildung-kaufmann-m-w-d-fuer-versicherungen-und-finanzanlagen-in-roethenbach
Kaufmann/frau Versicherung und Finanzen,"Ausbildung Kaufmann (m/w/d) für Versicherungen und Finanzanlagen im Vertrieb
DEVK Deutsche Eisenbahn Versicherung
01.08.2026
22049 Hamburg
Duale Ausbildung",DEVK Deutsche Eisenbahn Versicherung,N/A,gerriet.hinrichs@vtp.devk.de,0160-97261999,2026-02-26,https://www.azubi.de/ausbildungsplatz/10823791-s-ausbildung-kaufmann-m-w-d-fuer-versicherungen-und-finanzanlagen-im-vertrieb
Kaufmann/frau Versicherung und Finanzen,"Kaufmann (m/w/d) für Versicherungen und Finanzanlagen - Innendienst
Wüstenrot & Württembergische-Gruppe
07.09.2026
70806 Kornwestheim
Duale Ausbildung
10 freie Stellen",Wüstenrot &amp; Württembergische AG,N/A,kerstin.heesch@ww-ag.com,026 70191,2026-02-26,https://www.azubi.de/ausbildungsplatz/10603311-s-kaufmann-m-w-d-fuer-versicherungen-und-finanzanlagen-innendienst
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum*zur Kaufmann*frau für Versicherungen und Finanzanlagen - Vertrieb
Gothaer Allgemeine Versicherung
01.09.2026
50739 Köln
Duale Ausbildung",Gothaer Konzern,N/A,navig@or.userlanguage,0221 308-22650,2026-02-26,https://www.azubi.de/ausbildungsplatz/10803253-s-ausbildung-zum-zur-kaufmann-frau-fuer-versicherungen-und-finanzanlagen-vertrieb
Kaufmann/frau Versicherung und Finanzen,"Ausbildung Kaufmann für Versicherungen und Finanzanlagen (m/w/d) - Schwerpunkt Innendienst
Öffentliche Versicherung Braunschweig
01.08.2026
38122 Braunschweig
Duale Ausbildung
2 freie Stellen",Öffentliche Versicherung Braunschweig,N/A,navig@or.userlanguage,026 28870,2026-02-26,https://www.azubi.de/ausbildungsplatz/10700614-s-ausbildung-kaufmann-fuer-versicherungen-und-finanzanlagen-m-w-d-schwerpunkt-innendienst
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum Kaufmann für Versicherungen und Finanzanlagen (m/w/d) im Vertrieb 2026
Agentur Süderbrarup
01.08.2026
24392 Süderbrarup
Duale Ausbildung",Provinzial Holding AG Vertrieb,N/A,sevtap.karakus@provinzial.de,026 24837,2026-02-26,https://www.azubi.de/ausbildungsplatz/11293061-s-ausbildung-zum-kaufmann-fuer-versicherungen-und-finanzanlagen-m-w-d-im-vertrieb-2026
Kaufmann/frau Versicherung und Finanzen,"Ausbildung - Kauffrau/ Kaufmann für Versicherungen und Finanzanlagen (m/w/d) - Start 2026
ARTUS Köln Versicherungsmakler GmbH
01.09.2026
51069 Köln
Duale Ausbildung",ARTUS GRUPPE,N/A,navig@or.userlanguage,0221 7907 82919,2026-02-26,https://www.azubi.de/ausbildungsplatz/10793967-s-ausbildung-kauffrau-kaufmann-fuer-versicherungen-und-finanzanlagen-m-w-d-start-2026
Kaufmann/frau Versicherung und Finanzen,"Ausbildung Kaufmann für Versicherungen und Finanzanlagen Außendienst 2026 (m/w/d) Mitarbeiteragentur
AXA Konzern AG
15.08.2026
51067 Köln
Duale Ausbildung",AXA Konzern AG,N/A,johannes.diehl@axa.de,+49 221 148-25313,2026-02-25,https://www.azubi.de/ausbildungsplatz/10691544-s-ausbildung-kaufmann-fuer-versicherungen-und-finanzanlagen-aussendienst-2026-m-w-d-mitarbeiteragentur
Kaufmann/frau Versicherung und Finanzen,"Welzheim - Ausbildung Kaufleute (m/w/d) für Versicherungen und Finanzanlagen Agentur Ripberger und Hermann
ERGO Group AG
01.09.2026
73642 Welzheim
Duale Ausbildung",ERGO Group AG,N/A,katrin.woelk@ergo.de,+49 711 1694-166,2026-02-25,https://www.azubi.de/ausbildungsplatz/10793985-s-welzheim-ausbildung-kaufleute-m-w-d-fuer-versicherungen-und-finanzanlagen-agentur-ripberger-und-hermann
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum Kaufmann*zur Kauffrau für Versicherungen und Finanzanlagen - Vertriebsaußendienst
Gothaer Generalagentur Straub und Kollegen
01.08.2026
89331 Burgau
Duale Ausbildung",Gothaer Konzern,N/A,michael.straub@gothaer.de,08222 9669850,2026-02-25,https://www.azubi.de/ausbildungsplatz/10597856-s-ausbildung-zum-kaufmann-zur-kauffrau-fuer-versicherungen-und-finanzanlagen-vertriebsaussendienst
Kaufmann/frau Versicherung und Finanzen,"Kaufmann (m/w/d) für Versicherungen und Finanzanlagen im Vertrieb
DEVK Deutsche Eisenbahn Versicherung
01.08.2026
33330 Gütersloh
Duale Ausbildung",DEVK Deutsche Eisenbahn Versicherung,N/A,madline.weber@devk.de,0511-3399225,2026-02-25,https://www.azubi.de/ausbildungsplatz/11286138-s-kaufmann-m-w-d-fuer-versicherungen-und-finanzanlagen-im-vertrieb
Kaufmann/frau Versicherung und Finanzen,"Mannheim - Kaufleute (m/w/d) für Versicherungen und Finanzanlagen im Innendienst zum 01. September 2026
ERGO Group AG
01.09.2026
68163 Mannheim
Duale Ausbildung",ERGO Group AG,N/A,kerstin.fleck@ergo.de,0621 4205-600,2026-02-25,https://www.azubi.de/ausbildungsplatz/10111618-s-mannheim-kaufleute-m-w-d-fuer-versicherungen-und-finanzanlagen-im-innendienst-zum-01-september-2026
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum Kaufmann für Versicherungen und Finanzanlagen (m/w/d) in Rahden 2026
LVM Versicherung
01.08.2026
32369 Rahden
Duale Ausbildung",LVM Versicherung,N/A,k.tschuschke@lvm.de,0251 702 91 2210,2026-02-25,https://www.azubi.de/ausbildungsplatz/10901664-s-ausbildung-zum-kaufmann-fuer-versicherungen-und-finanzanlagen-m-w-d-in-rahden-2026
Kaufmann/frau Versicherung und Finanzen,"Ausbildung Kaufmann/ Kauffrau für Versicherungen und Finanzanlagen Köln (m/w/d) 2026
Zürich Beteiligungs AG
01.09.2026
50679 Köln
Duale Ausbildung
Vollzeit/Teilzeit
10 freie Stellen",Zurich Beteiligungs AG,N/A,navig@or.userlanguage,026 50321,2026-02-25,https://www.azubi.de/ausbildungsplatz/10211333-s-ausbildung-kaufmann-kauffrau-fuer-versicherungen-und-finanzanlagen-koeln-m-w-d-2026
Kaufmann/frau Versicherung und Finanzen,"Kaufmann für Versicherungen & Finanzanlagen (m/w/d) in der Hauptverwaltung Hannover
Concordia Versicherungs-Gesellschaft auf Gegenseitigkeit
01.09.2026
30625 Hannover
Duale Ausbildung
8 freie Stellen",Concordia Versicherungs-Gesellschaft auf Gegenseitigkeit,N/A,navig@or.userlanguage,026 30159,2026-02-24,https://www.azubi.de/ausbildungsplatz/10274353-s-kaufmann-fuer-versicherungen-finanzanlagen-m-w-d-in-der-hauptverwaltung-hannover
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum/zur Kaufmann/Kauffrau für Versicherungen und Finanzanlagen im Vertrieb
DEVK Deutsche Eisenbahn Versicherung
01.09.2026
94209 Regen
Duale Ausbildung",DEVK Deutsche Eisenbahn Versicherung,N/A,bianca.schneider@devk.de,0941 79608-282,2026-02-24,https://www.azubi.de/ausbildungsplatz/10506447-s-ausbildung-zum-zur-kaufmann-kauffrau-fuer-versicherungen-und-finanzanlagen-im-vertrieb
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum Kaufmann für Versicherungen und Finanzanlagen (m/w/d)
MLP Finanzberatung SE
01.09.2026
69168 Wiesloch
Duale Ausbildung",MLP Finanzberatung SE,N/A,navig@or.userlanguage,026 69126,2026-02-24,https://www.azubi.de/ausbildungsplatz/11281094-s-ausbildung-zum-kaufmann-fuer-versicherungen-und-finanzanlagen-m-w-d
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum/zur Kaufmann/Kauffrau für Versicherungen und Finanzanlagen im Vertrieb
DEVK Deutsche Eisenbahn Versicherung
01.08.2026
36088 Hünfeld
Duale Ausbildung",DEVK Deutsche Eisenbahn Versicherung,N/A,nina.bueckmann@devk.de,0561 7205-221,2026-02-24,https://www.azubi.de/ausbildungsplatz/10592049-s-ausbildung-zum-zur-kaufmann-kauffrau-fuer-versicherungen-und-finanzanlagen-im-vertrieb
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum/zur Kaufmann/Kauffrau für Versicherungen und Finanzanlagen im Innendienst
DEVK Deutsche Eisenbahn Versicherung
01.09.2026
93051 Regensburg
Duale Ausbildung",DEVK Deutsche Eisenbahn Versicherung,N/A,ausbildung.regensburg@devk.de,0941 79608,2026-02-24,https://www.azubi.de/ausbildungsplatz/10506442-s-ausbildung-zum-zur-kaufmann-kauffrau-fuer-versicherungen-und-finanzanlagen-im-innendienst
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum/zur Kaufmann/Kauffrau für Versicherungen und Finanzanlagen (m/w/d)
DEVK Deutsche Eisenbahn Versicherung
01.09.2026
10785 Berlin
Duale Ausbildung
4 freie Stellen",DEVK Deutsche Eisenbahn Versicherung,N/A,selina.weber@devk.de,030 25487-101,2026-02-21,https://www.azubi.de/ausbildungsplatz/11492462-s-ausbildung-zum-zur-kaufmann-kauffrau-fuer-versicherungen-und-finanzanlagen-m-w-d
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum Kaufmann*zur Kauffrau für Versicherungen und Finanzanlagen - Vertrieb
Gothaer Hauptgeschäftsstelle Jens Marhoffer
01.08.2026
34346 Hann. Münden
Duale Ausbildung",Gothaer Konzern,N/A,jens.marhoffer@gothaer.de,015127577940,2026-02-21,https://www.azubi.de/ausbildungsplatz/11094025-s-ausbildung-zum-kaufmann-zur-kauffrau-fuer-versicherungen-und-finanzanlagen-vertrieb
Kaufmann/frau Versicherung und Finanzen,"Ausbildung zum Kaufmann*zur Kauffrau für Versicherungen und Finanzanlagen - Vertrieb
Gothaer Generalagentur Sascha Zumbusch
01.08.2026
46242 Bottrop
Duale Ausbildung",Gothaer Konzern,N/A,sascha.zumbusch@gothaer.de,02041 371880,2026-02-21,https://www.azubi.de/ausbildungsplatz/10960091-s-ausbildung-zum-kaufmann-zur-kauffrau-fuer-versicherungen-und-finanzanlagen-vertrieb
